,ECG
0,33536
1,33664
2,33792
3,33792
4,33600
5,33472
6,33344
7,33408
8,33600
9,33856
10,33856
11,33728
12,33600
13,33600
14,33600
15,33600
16,33728
17,33792
18,33856
19,34048
20,34304
21,34432
22,34496
23,34432
24,34112
25,33920
26,34048
27,34112
28,34176
29,34240
30,34176
31,34112
32,33920
33,33664
34,33472
35,33344
36,33280
37,33216
38,33024
39,32960
40,33024
41,33088
42,33280
43,33408
44,33408
45,33344
46,33344
47,33600
48,33728
49,33600
50,33536
51,33536
52,33408
53,33344
54,33728
55,34624
56,36160
57,38336
58,40832
59,43008
60,44032
61,43776
62,41856
63,38720
64,35200
65,32064
66,29760
67,28416
68,27840
69,28032
70,28608
71,29312
72,30080
73,30848
74,31552
75,32256
76,32768
77,33088
78,33408
79,33664
80,33856
81,33920
82,33920
83,33856
84,33792
85,33728
86,33600
87,33536
88,33600
89,33600
90,33600
91,33408
92,33344
93,33408
94,33280
95,33152
96,33024
97,33088
98,33088
99,33024
100,33088
101,33216
102,33344
103,33408
104,33472
105,33664
106,33600
107,33536
108,33536
109,33664
110,33600
111,33472
112,33408
113,33472
114,33536
115,33600
116,33600
117,33536
118,33472
119,33472
120,33408
121,33472
122,33536
123,33536
124,33536
125,33600
126,33728
127,33728
128,33600
129,33472
130,33472
131,33536
132,33472
133,33280
134,33280
135,33280
136,33152
137,33024
138,33152
139,33408
140,33472
141,33408
142,33280
143,33280
144,33344
145,33344
146,33408
147,33408
148,33344
149,33408
150,33472
151,33536
152,33664
153,33664
154,33536
155,33536
156,33536
157,33600
158,33792
159,33920
160,34048
161,33920
162,33600
163,33408
164,33344
165,33344
166,33536
167,33728
168,33664
169,33536
170,33344
171,33280
172,33344
173,33344
174,33344
175,33344
176,33536
177,33792
178,33664
179,33472
180,33344
181,33344
182,33344
183,33280
184,33280
185,33280
186,33216
187,33088
188,33024
189,33152
190,33280
191,33344
192,33536
193,33664
194,33600
195,33344
196,33216
197,33216
198,33280
199,33216
200,33152
201,33088
202,33088
203,33088
204,33024
205,33088
206,33152
207,33152
208,33216
209,33280
210,33344
211,33408
212,33536
213,33728
214,33792
215,33856
216,33856
217,33984
218,34240
219,34432
220,34368
221,34112
222,33920
223,33792
224,33728
225,33728
226,33792
227,33792
228,33472
229,33152
230,32896
231,32704
232,32448
233,32512
234,32640
235,32704
236,32704
237,32640
238,32448
239,32384
240,32448
241,32704
242,33088
243,33600
244,34176
245,34624
246,35264
247,36096
248,37248
249,38848
250,41024
251,43456
252,46080
253,47936
254,48448
255,47232
256,44288
257,40512
258,36672
259,34048
260,32000
261,30528
262,29632
263,29376
264,29568
265,29760
266,29888
267,30016
268,30336
269,30656
270,30848
271,30720
272,30464
273,30144
274,29824
275,29632
276,29504
277,29312
278,28928
279,28672
280,28736
281,28928
282,29120
283,29312
284,29504
285,29696
286,30080
287,30720
288,31424
289,32000
290,32512
291,32896
292,33088
293,33408
294,33792
295,34240
296,34752
297,35136
298,35264
299,35328
300,35392
301,35392
302,35392
303,35008
304,34624
305,34368
306,34112
307,33984
308,33920
309,34048
310,34368
311,34496
312,34560
313,34752
314,34944
315,35200
316,35520
317,35904
318,36160
319,36416
320,36480
321,36480
322,36288
323,36032
324,35584
325,35072
326,34432
327,33920
328,33536
329,33408
330,33408
331,33408
332,32960
333,32448
334,32128
335,32000
336,32000
337,32064
338,32256
339,32448
340,32576
341,32512
342,32320
343,32256
344,32384
345,32576
346,32704
347,32704
348,32768
349,32832
350,32960
351,33216
352,33216
353,33216
354,33152
355,33088
356,33088
357,33024
358,32896
359,32768
360,32704
361,32640
362,32704
363,32704
364,32512
365,32320
366,32256
367,32320
368,32448
369,32512
370,32512
371,32704
372,33024
373,33280
374,33216
375,33152
376,33216
377,33472
378,33856
379,34240
380,34624
381,34944
382,35200
383,35328
384,35520
385,35840
386,35776
387,35456
388,35264
389,35136
390,35200
391,35200
392,35200
393,35072
394,34752
395,34240
396,33664
397,33216
398,32960
399,32704
400,32576
401,32576
402,32768
403,33216
404,33600
405,33792
406,33856
407,34048
408,34176
409,34368
410,34752
411,35072
412,35328
413,35584
414,35968
415,36096
416,36096
417,36096
418,36224
419,36160
420,36032
421,35648
422,35392
423,35328
424,35200
425,35264
426,35456
427,35648
428,35776
429,35904
430,35840
431,35840
432,35584
433,35392
434,35200
435,35136
436,34880
437,34688
438,34560
439,34752
440,35392
441,36480
442,38272
443,40512
444,42752
445,43968
446,43904
447,42048
448,38656
449,34304
450,31232
451,28864
452,27456
453,26944
454,27008
455,27520
456,28288
457,29184
458,30144
459,31104
460,31744
461,32320
462,32704
463,32960
464,33088
465,33088
466,32896
467,32704
468,32576
469,32512
470,32384
471,32384
472,32512
473,32448
474,32448
475,32448
476,32448
477,32448
478,32320
479,32256
480,32256
481,32448
482,32448
483,32320
484,32448
485,32576
486,32512
487,32320
488,32320
489,32512
490,32704
491,33024
492,33408
493,33792
494,33984
495,33984
496,33984
497,34112
498,34176
499,34240
500,34368
501,34432
502,34368
503,34048
504,33664
505,33344
506,33024
507,32832
508,32704
509,32640
510,32768
511,32832
512,32832
513,32896
514,33024
515,33216
516,33216
517,33216
518,33216
519,33280
520,33344
521,33536
522,33664
523,33600
524,33472
525,33344
526,33088
527,32640
528,32192
529,31808
530,31424
531,31296
532,31232
533,31360
534,31552
535,31424
536,31232
537,31104
538,31040
539,30976
540,30976
541,30720
542,30528
543,30720
544,30784
545,30784
546,30784
547,30912
548,30976
549,31104
550,31168
551,31232
552,31360
553,31552
554,31488
555,31552
556,31680
557,31936
558,32128
559,32448
560,32640
561,32832
562,33088
563,33344
564,33536
565,33536
566,33664
567,33600
568,33536
569,33408
570,33408
571,33344
572,33280
573,33152
574,33152
575,33408
576,34048
577,34688
578,34944
579,35136
580,35520
581,35968
582,36096
583,36160
584,36160
585,36288
586,36224
587,36032
588,35968
589,35968
590,36032
591,35776
592,35264
593,34752
594,34112
595,33472
596,33152
597,33024
598,32960
599,32896
600,32896
601,33024
602,33088
603,32960
604,32640
605,32320
606,31936
607,31552
608,31296
609,31168
610,30976
611,30848
612,30784
613,30976
614,31296
615,31488
616,31488
617,31488
618,31744
619,32000
620,32192
621,32320
622,32512
623,32576
624,32768
625,33408
626,34688
627,36736
628,39232
629,41856
630,43712
631,44096
632,42496
633,39424
634,35840
635,32768
636,30400
637,28992
638,28544
639,29056
640,29824
641,30656
642,31552
643,32448
644,33280
645,34048
646,34688
647,35200
648,35584
649,35840
650,36096
651,36224
652,36352
653,36416
654,36416
655,36480
656,36544
657,36608
658,36672
659,36736
660,36800
661,36928
662,36992
663,36992
664,36992
665,36864
666,36736
667,36672
668,36480
669,36160
670,35840
671,35648
672,35584
673,35456
674,35136
675,34880
676,34688
677,34688
678,34560
679,34432
680,34368
681,34432
682,34496
683,34560
684,34624
685,34624
686,34496
687,34368
688,34368
689,34304
690,34304
691,34240
692,34240
693,34304
694,33984
695,33600
696,33216
697,32896
698,32704
699,32512
700,32448
701,32320
702,32256
703,32256
704,32192
705,32320
706,32576
707,32960
708,33152
709,33344
710,33408
711,33536
712,33536
713,33600
714,33792
715,34048
716,34368
717,34624
718,34880
719,35008
720,35072
721,35200
722,35456
723,35520
724,35520
725,35392
726,35328
727,35392
728,35328
729,35200
730,35136
731,35264
732,35200
733,34944
734,34880
735,34880
736,34816
737,34752
738,34752
739,34688
740,34624
741,34496
742,34432
743,34432
744,34496
745,34560
746,34432
747,34432
748,34432
749,34176
750,33920
751,33792
752,33664
753,33536
754,33536
755,33472
756,33472
757,33472
758,33472
759,33536
760,33600
761,33536
762,33472
763,33536
764,33664
765,33728
766,33728
767,33664
768,33664
769,33664
770,33728
771,33920
772,33984
773,33984
774,33984
775,33984
776,33984
777,33920
778,33920
779,33856
780,33856
781,33984
782,34048
783,33984
784,33920
785,33792
786,33600
787,33472
788,33408
789,33344
790,33152
791,32896
792,32640
793,32512
794,32448
795,32512
796,32576
797,32768
798,32896
799,32960
800,33024
801,33088
802,33088
803,33088
804,33088
805,32960
806,32832
807,32896
808,33408
809,34304
810,35520
811,37440
812,40128
813,42048
814,43392
815,43392
816,41728
817,38720
818,35264
819,32256
820,30080
821,28672
822,28032
823,28160
824,28800
825,29440
826,30144
827,30848
828,31488
829,32064
830,32576
831,33088
832,33600
833,33856
834,33984
835,34048
836,34048
837,34112
838,34304
839,34240
840,33984
841,33728
842,33600
