,ECG
0,-98
1,-91
2,-86
3,-85
4,-92
5,-102
6,-113
7,-118
8,-107
9,-95
10,-85
11,-82
12,-86
13,-94
14,-104
15,-110
16,-111
17,-106
18,-98
19,-94
20,-94
21,-98
22,-106
23,-113
24,-114
25,-108
26,-103
27,-96
28,-92
29,-91
30,-94
31,-101
32,-104
33,-102
34,-96
35,-90
36,-85
37,-84
38,-89
39,-96
40,-99
41,-89
42,-79
43,-69
44,-61
45,-57
46,-60
47,-61
48,-58
49,-50
50,-39
51,-31
52,-26
53,-25
54,-32
55,-45
56,-54
57,-57
58,-56
59,-48
60,-41
61,-39
62,-41
63,-41
64,-47
65,-55
66,-58
67,-59
68,-59
69,-57
70,-56
71,-63
72,-73
73,-88
74,-88
75,-80
76,-70
77,-63
78,-64
79,-72
80,-82
81,-90
82,-96
83,-96
84,-89
85,-82
86,-81
87,-86
88,-96
89,-111
90,-122
91,-124
92,-115
93,-102
94,-86
95,-75
96,-73
97,-78
98,-88
99,-97
100,-100
101,-99
102,-95
103,-89
104,-85
105,-88
106,-92
107,-90
108,-83
109,-75
110,-68
111,-63
112,-63
113,-67
114,-68
115,-66
116,-61
117,-50
118,-38
119,-32
120,-30
121,-33
122,-39
123,-46
124,-49
125,-49
126,-47
127,-44
128,-45
129,-50
130,-58
131,-66
132,-71
133,-66
134,-56
135,-44
136,-36
137,-33
138,-37
139,-56
140,-65
141,-66
142,-60
143,-53
144,-48
145,-44
146,-44
147,-47
148,-48
149,-45
150,-39
151,-33
152,-31
153,-30
154,-34
155,-44
156,-54
157,-59
158,-59
159,-56
160,-50
161,-46
162,-43
163,-44
164,-47
165,-51
166,-53
167,-53
168,-52
169,-54
170,-61
171,-85
172,-96
173,-104
174,-104
175,-100
176,-97
177,-96
178,-98
179,-105
180,-113
181,-118
182,-117
183,-110
184,-104
185,-100
186,-98
187,-101
188,-108
189,-114
190,-117
191,-114
192,-107
193,-99
194,-91
195,-88
196,-91
197,-95
198,-100
199,-102
200,-102
201,-102
202,-100
203,-98
204,-101
205,-101
206,-99
207,-93
208,-82
209,-68
210,-55
211,-44
212,-30
213,-14
214,1
215,19
216,33
217,40
218,37
219,22
220,-9
221,-50
222,-93
223,-134
224,-163
225,-182
226,-200
227,-215
228,-227
229,-240
230,-249
231,-252
232,-249
233,-235
234,-213
235,-189
236,-166
237,-151
238,-141
239,-139
240,-134
241,-120
242,-103
243,-83
244,-64
245,-50
246,-45
247,-49
248,-55
249,-59
250,-61
251,-62
252,-59
253,-57
254,-60
255,-67
256,-75
257,-80
258,-82
259,-80
260,-73
261,-64
262,-58
263,-55
264,-55
265,-54
266,-53
267,-48
268,-40
269,-33
270,-29
271,-32
272,-38
273,-42
274,-41
275,-39
276,-35
277,-36
278,-41
279,-51
280,-64
281,-75
282,-81
283,-81
284,-77
285,-73
286,-72
287,-76
288,-85
289,-95
290,-102
291,-106
292,-105
293,-103
294,-101
295,-100
296,-103
297,-109
298,-113
299,-114
300,-109
301,-99
302,-87
303,-77
304,-74
305,-76
306,-80
307,-83
308,-84
309,-81
310,-78
311,-78
312,-80
313,-83
314,-86
315,-87
316,-83
317,-78
318,-75
319,-78
320,-84
321,-92
322,-99
323,-106
324,-108
325,-105
326,-100
327,-97
328,-97
329,-103
330,-112
331,-120
332,-124
333,-124
334,-120
335,-118
336,-123
337,-144
338,-159
339,-170
340,-175
341,-172
342,-164
343,-155
344,-151
345,-153
346,-155
347,-155
348,-159
349,-157
350,-147
351,-134
352,-122
353,-110
354,-102
355,-102
356,-105
357,-107
358,-105
359,-97
360,-88
361,-81
362,-77
363,-77
364,-83
365,-85
366,-81
367,-77
368,-69
369,-59
370,-53
371,-51
372,-51
373,-51
374,-45
375,-37
376,-28
377,-20
378,-17
379,-19
380,-25
381,-33
382,-38
383,-37
384,-36
385,-33
386,-34
387,-39
388,-45
389,-50
390,-51
391,-47
392,-35
393,-21
394,-9
395,-2
396,-2
397,-5
398,-8
399,-12
400,-8
401,-1
402,5
403,10
404,1
405,-8
406,-18
407,-23
408,-19
409,-13
410,-9
411,-10
412,-16
413,-26
414,-39
415,-48
416,-51
417,-49
418,-42
419,-37
420,-39
421,-45
422,-56
423,-66
424,-68
425,-66
426,-62
427,-58
428,-58
429,-65
430,-77
431,-89
432,-97
433,-98
434,-90
435,-79
436,-71
437,-65
438,-70
439,-71
440,-72
441,-71
442,-66
443,-62
444,-60
445,-59
446,-62
447,-68
448,-71
449,-68
450,-60
451,-47
452,-37
453,-30
454,-26
455,-23
456,-20
457,-16
458,-7
459,7
460,24
461,45
462,69
463,83
464,89
465,87
466,74
467,51
468,19
469,-63
470,-104
471,-140
472,-164
473,-179
474,-193
475,-204
476,-212
477,-221
478,-231
479,-234
480,-228
481,-214
482,-192
483,-165
484,-139
485,-121
486,-114
487,-120
488,-125
489,-126
490,-126
491,-122
492,-104
493,-80
494,-56
495,-40
496,-33
497,-35
498,-45
499,-57
500,-65
501,-67
502,-63
503,-64
504,-73
505,-85
506,-97
507,-99
508,-95
509,-87
510,-74
511,-65
512,-65
513,-68
514,-75
515,-83
516,-86
517,-80
518,-71
519,-59
520,-50
521,-50
522,-54
523,-58
524,-61
525,-55
526,-47
527,-39
528,-31
529,-29
530,-33
531,-42
532,-49
533,-50
534,-38
535,-27
536,-20
537,-18
538,-21
539,-24
540,-19
541,-10
542,0
543,11
544,23
545,28
546,24
547,15
548,9
549,11
550,16
551,24
552,33
553,37
554,33
555,30
556,26
557,22
558,22
559,25
560,30
561,33
562,27
563,16
564,5
565,0
566,0
567,19
568,26
569,29
570,27
571,15
572,-2
573,-15
574,-20
575,-16
576,-7
577,0
578,5
579,7
580,0
581,-11
582,-19
583,-23
584,-24
585,-19
586,-18
587,-25
588,-33
589,-41
590,-45
591,-44
592,-40
593,-34
594,-27
595,-24
596,-28
597,-37
598,-46
599,-54
600,-44
601,-38
602,-36
603,-37
604,-44
605,-53
606,-63
607,-68
608,-64
609,-57
610,-49
611,-43
612,-42
613,-48
614,-57
615,-59
616,-53
617,-45
618,-37
619,-29
620,-28
621,-36
622,-45
623,-49
624,-48
625,-38
626,-22
627,-6
628,4
629,4
630,-2
631,-10
632,-10
633,-10
634,-10
635,0
636,9
637,13
638,10
639,7
640,5
641,9
642,18
643,31
644,42
645,46
646,42
647,33
648,22
649,11
650,4
651,7
652,17
653,21
654,26
655,27
656,23
657,22
658,23
659,24
660,30
661,34
662,33
663,29
664,22
665,11
666,3
667,0
668,4
669,4
670,0
671,-3
672,-14
673,-24
674,-34
675,-41
676,-42
677,-48
678,-55
679,-59
680,-66
681,-73
682,-78
683,-80
684,-79
685,-76
686,-75
687,-76
688,-74
689,-76
690,-75
691,-63
692,-51
693,-40
694,-30
695,-25
696,-28
697,-37
698,-52
699,-63
700,-72
701,-65
702,-49
703,-38
704,-32
705,-27
706,-28
707,-28
708,-26
709,-24
710,-14
711,2
712,24
713,50
714,75
715,90
716,92
717,79
718,49
719,6
720,-45
721,-100
722,-144
723,-174
724,-191
725,-202
726,-212
727,-222
728,-235
729,-251
730,-264
731,-268
732,-244
733,-217
734,-186
735,-160
736,-139
737,-123
738,-114
739,-101
740,-88
741,-75
742,-59
743,-48
744,-44
745,-47
746,-53
747,-60
748,-64
749,-60
750,-53
751,-41
752,-29
753,-22
754,-22
755,-30
756,-39
757,-48
758,-54
759,-52
760,-50
761,-49
762,-46
763,-46
764,-48
765,-48
766,-46
767,-43
768,-38
769,-35
770,-32
771,-35
772,-42
773,-40
774,-40
775,-32
776,-22
777,-9
778,-3
779,-6
780,-12
781,-21
782,-29
783,-32
784,-28
785,-18
786,-8
787,-6
788,-8
789,-10
790,-22
791,-29
792,-27
793,-25
794,-23
795,-24
796,-30
797,-37
798,-51
799,-45
800,-37
801,-26
802,-12
803,-5
804,-6
805,-12
806,-22
807,-29
808,-29
809,-24
810,-14
811,-10
812,-15
813,-25
814,-37
815,-50
816,-52
817,-44
818,-32
819,-15
820,-5
821,-7
822,-15
823,-32
824,-52
825,-64
826,-68
827,-67
828,-66
829,-70
830,-77
831,-91
832,-99
833,-98
834,-89
835,-78
836,-67
837,-63
838,-66
839,-73
840,-85
841,-95
842,-104
843,-105
844,-103
845,-102
846,-99
847,-102
848,-107
849,-109
850,-107
851,-100
852,-94
853,-96
854,-101
855,-103
856,-112
857,-118
858,-117
859,-111
860,-102
861,-92
862,-86
863,-89
864,-97
865,-101
866,-100
867,-99
868,-95
869,-92
870,-94
871,-98
872,-99
873,-99
874,-96
875,-91
876,-83
877,-73
878,-70
879,-70
880,-73
881,-80
882,-86
883,-85
884,-82
885,-80
886,-83
887,-88
888,-99
889,-111
890,-121
891,-124
892,-119
893,-109
894,-102
895,-99
896,-113
897,-123
898,-132
899,-134
900,-126
901,-116
902,-107
903,-100
904,-100
905,-105
906,-110
907,-112
908,-108
909,-98
910,-90
911,-81
912,-76
913,-77
914,-82
915,-83
916,-83
917,-85
918,-83
919,-76
920,-70
921,-66
922,-63
923,-62
924,-64
925,-64
926,-61
927,-60
928,-62
929,-76
930,-89
931,-102
932,-111
933,-113
934,-109
935,-106
936,-102
937,-101
938,-107
939,-117
940,-122
941,-121
942,-117
943,-112
944,-105
945,-103
946,-108
947,-118
948,-128
949,-136
950,-138
951,-130
952,-118
953,-107
954,-102
955,-103
956,-109
957,-117
958,-121
959,-117
960,-109
961,-98
962,-76
963,-69
964,-67
965,-63
966,-54
967,-43
968,-30
969,-10
970,15
971,37
972,53
973,62
974,57
975,43
976,21
977,-10
978,-50
979,-90
980,-130
981,-163
982,-188
983,-209
984,-224
985,-235
986,-244
987,-244
988,-237
989,-231
990,-219
