,ECG
0,-38
1,-39
2,-49
3,-60
4,-70
5,-75
6,-72
7,-62
8,-48
9,-37
10,-30
11,-25
12,-18
13,-10
14,5
15,27
16,47
17,68
18,89
19,107
20,128
21,125
22,114
23,91
24,54
25,7
26,-43
27,-90
28,-127
29,-151
30,-167
31,-179
32,-189
33,-202
34,-215
35,-227
36,-235
37,-233
38,-220
39,-198
40,-173
41,-153
42,-142
43,-138
44,-138
45,-139
46,-135
47,-123
48,-107
49,-92
50,-82
51,-79
52,-87
53,-90
54,-84
55,-73
56,-59
57,-45
58,-38
59,-38
60,-45
61,-52
62,-54
63,-48
64,-38
65,-28
66,-18
67,-18
68,-14
69,-18
70,-26
71,-33
72,-36
73,-33
74,-26
75,-17
76,-10
77,-8
78,-8
79,-7
80,-6
81,-4
82,1
83,6
84,5
85,-10
86,-22
87,-30
88,-32
89,-25
90,-16
91,-11
92,-11
93,-16
94,-24
95,-34
96,-37
97,-32
98,-20
99,-8
100,0
101,0
102,-8
103,-22
104,-32
105,-34
106,-28
107,-19
108,-8
109,-1
110,-1
111,-8
112,-19
113,-25
114,-26
115,-23
116,-19
117,-14
118,-25
119,-33
120,-36
121,-33
122,-19
123,-3
124,12
125,23
126,21
127,11
128,0
129,-11
130,-16
131,-14
132,-9
133,-4
134,-2
135,-8
136,-19
137,-29
138,-38
139,-40
140,-38
141,-37
142,-40
143,-49
144,-63
145,-75
146,-82
147,-83
148,-76
149,-67
150,-61
151,-69
152,-82
153,-95
154,-101
155,-100
156,-91
157,-81
158,-75
159,-75
160,-80
161,-86
162,-89
163,-84
164,-74
165,-64
166,-58
167,-59
168,-67
169,-78
170,-89
171,-93
172,-88
173,-75
174,-63
175,-55
176,-54
177,-59
178,-67
179,-73
180,-72
181,-66
182,-56
183,-40
184,-41
185,-50
186,-62
187,-71
188,-73
189,-69
190,-62
191,-52
192,-42
193,-37
194,-33
195,-29
196,-23
197,-14
198,-3
199,5
200,9
201,7
202,0
203,-5
204,-7
205,-2
206,6
207,15
208,22
209,21
210,21
211,16
212,5
213,-2
214,-4
215,1
216,10
217,27
218,26
219,18
220,9
221,5
222,8
223,19
224,31
225,43
226,49
227,46
228,35
229,24
230,13
231,9
232,10
233,11
234,11
235,9
236,6
237,5
238,9
239,18
240,32
241,45
242,50
243,51
244,46
245,35
246,26
247,24
248,29
249,38
250,36
251,25
252,9
253,-6
254,-18
255,-21
256,-19
257,-12
258,-3
259,0
260,-1
261,-5
262,-8
263,-7
264,2
265,16
266,31
267,42
268,45
269,42
270,36
271,28
272,26
273,31
274,39
275,47
276,50
277,45
278,34
279,22
280,14
281,14
282,24
283,28
284,29
285,23
286,14
287,6
288,4
289,10
290,21
291,31
292,36
293,33
294,26
295,20
296,17
297,19
298,27
299,35
300,39
301,37
302,27
303,12
304,0
305,-6
306,-4
307,0
308,4
309,6
310,4
311,-1
312,-6
313,-5
314,8
315,12
316,8
317,-2
318,-20
319,-39
320,-52
321,-53
322,-46
323,-34
324,-22
325,-17
326,-20
327,-28
328,-35
329,-39
330,-35
331,-26
332,-15
333,-8
334,-8
335,-16
336,-28
337,-38
338,-43
339,-43
340,-38
341,-36
342,-35
343,-42
344,-52
345,-64
346,-70
347,-64
348,-54
349,-45
350,-41
351,-40
352,-40
353,-39
354,-34
355,-24
356,-5
357,15
358,33
359,43
360,44
361,40
362,44
363,58
364,81
365,111
366,131
367,134
368,118
369,82
370,30
371,-21
372,-63
373,-91
374,-106
375,-117
376,-136
377,-161
378,-188
379,-211
380,-208
381,-185
382,-154
383,-120
384,-95
385,-83
386,-79
387,-81
388,-78
389,-68
390,-51
391,-36
392,-24
393,-16
394,-18
395,-25
396,-31
397,-32
398,-29
399,-22
400,-13
401,-8
402,-6
403,-12
404,-18
405,-22
406,-23
407,-21
408,-17
409,-18
410,-22
411,-30
412,-40
413,-37
414,-29
415,-18
416,-10
417,-9
418,-13
419,-25
420,-37
421,-44
422,-44
423,-38
424,-31
425,-26
426,-29
427,-33
428,-41
429,-45
430,-42
431,-32
432,-21
433,-12
434,-11
435,-17
436,-29
437,-43
438,-52
439,-52
440,-48
441,-39
442,-33
443,-32
444,-38
445,-52
446,-53
447,-45
448,-34
449,-26
450,-21
451,-23
452,-28
453,-35
454,-37
455,-32
456,-23
457,-12
458,0
459,5
460,6
461,5
462,6
463,14
464,27
465,44
466,59
467,67
468,66
469,57
470,43
471,31
472,23
473,25
474,32
475,39
476,42
477,33
478,26
479,23
480,27
481,32
482,38
483,42
484,38
485,27
486,14
487,3
488,-2
489,-2
490,0
491,1
492,-2
493,-12
494,-12
495,-23
496,-32
497,-37
498,-33
499,-25
500,-17
501,-12
502,-15
503,-27
504,-42
505,-58
506,-71
507,-77
508,-79
509,-82
510,-97
511,-111
512,-122
513,-129
514,-130
515,-124
516,-117
517,-113
518,-114
519,-122
520,-132
521,-142
522,-145
523,-143
524,-138
525,-132
526,-127
527,-124
528,-127
529,-134
530,-139
531,-136
532,-127
533,-118
534,-112
535,-112
536,-119
537,-129
538,-139
539,-142
540,-141
541,-138
542,-131
543,-122
544,-117
545,-119
546,-121
547,-114
548,-104
549,-96
550,-88
551,-86
552,-91
553,-98
554,-101
555,-102
556,-98
557,-93
558,-90
559,-90
560,-95
561,-107
562,-118
563,-121
564,-114
565,-99
566,-82
567,-69
568,-66
569,-72
570,-84
571,-96
572,-96
573,-85
574,-71
575,-56
576,-44
577,-53
578,-68
579,-79
580,-82
581,-76
582,-68
583,-60
584,-56
585,-61
586,-70
587,-76
588,-78
589,-73
590,-65
591,-59
592,-56
593,-60
594,-71
595,-83
596,-91
597,-93
598,-90
599,-79
600,-72
601,-71
602,-77
603,-88
604,-99
605,-107
606,-111
607,-109
608,-103
609,-86
610,-85
611,-90
612,-97
613,-102
614,-101
615,-97
616,-93
617,-90
618,-90
619,-92
620,-95
621,-99
622,-100
623,-99
624,-97
625,-96
626,-98
627,-105
628,-113
629,-118
630,-118
631,-112
632,-102
633,-92
634,-88
635,-91
636,-91
637,-100
638,-108
639,-111
640,-108
641,-99
642,-88
643,-83
644,-90
645,-101
646,-106
647,-103
648,-91
649,-75
650,-62
651,-55
652,-54
653,-62
654,-73
655,-80
656,-79
657,-71
658,-63
659,-59
660,-62
661,-70
662,-83
663,-95
664,-99
665,-96
666,-91
667,-85
668,-82
669,-88
670,-99
671,-112
672,-122
673,-124
674,-116
675,-107
676,-86
677,-85
678,-89
679,-93
680,-93
681,-87
682,-75
683,-66
684,-58
685,-52
686,-56
687,-62
688,-66
689,-66
690,-62
691,-55
692,-52
693,-56
694,-62
695,-70
696,-75
697,-72
698,-61
699,-47
700,-32
701,-20
702,-12
703,-9
704,-6
705,8
706,38
707,67
708,95
709,81
710,45
711,-2
712,-56
713,-102
714,-129
715,-147
716,-160
717,-173
718,-195
719,-223
720,-244
721,-257
722,-255
723,-238
724,-218
725,-195
726,-176
727,-167
728,-168
729,-169
730,-161
731,-142
732,-119
733,-100
734,-84
735,-75
736,-76
737,-81
738,-84
739,-82
740,-67
741,-60
742,-55
743,-58
744,-65
745,-69
746,-69
747,-63
748,-53
749,-43
750,-39
751,-40
752,-47
753,-58
754,-65
755,-65
756,-58
757,-45
758,-31
759,-22
760,-19
761,-22
762,-24
763,-24
764,-22
765,-16
766,-6
767,0
768,0
769,-4
770,-13
771,-21
772,-25
773,-4
774,3
775,4
776,3
777,-1
778,-9
779,-9
780,-12
781,-10
782,0
783,13
784,25
785,29
786,28
787,18
788,5
789,-5
790,-15
791,-21
792,-23
793,-26
794,-27
795,-23
796,-17
797,-8
798,8
799,27
800,44
801,54
802,58
803,54
804,46
805,36
806,30
807,35
808,44
809,50
810,49
811,41
812,27
813,18
814,19
815,25
816,36
817,50
818,65
819,72
820,68
821,64
822,63
823,67
824,78
825,93
826,103
827,103
828,96
829,84
830,75
831,70
832,70
833,80
834,89
835,99
836,104
837,94
838,73
839,44
840,32
841,26
842,18
843,7
844,-4
845,-15
846,-17
847,-10
848,-3
849,4
850,13
851,10
852,-4
853,-22
854,-42
855,-56
856,-59
857,-57
858,-49
859,-40
860,-39
861,-41
862,-43
863,-50
864,-56
865,-59
866,-64
867,-72
868,-80
869,-90
870,-94
871,-96
872,-98
873,-94
874,-95
875,-99
876,-103
877,-103
878,-99
879,-100
880,-100
881,-95
882,-88
883,-88
884,-85
885,-77
886,-72
887,-68
888,-65
889,-57
890,-52
891,-56
892,-60
893,-67
894,-83
895,-94
896,-96
897,-96
898,-96
899,-95
900,-91
901,-84
902,-82
903,-88
904,-109
905,-118
906,-110
907,-97
908,-90
909,-88
910,-89
911,-92
912,-93
913,-88
914,-88
915,-93
916,-96
917,-94
918,-90
919,-98
920,-116
921,-116
922,-124
923,-121
924,-113
925,-102
926,-90
927,-85
928,-83
929,-78
930,-66
931,-44
932,-33
933,-35
934,-31
935,-38
936,-63
937,-92
938,-125
939,-159
940,-157
941,-147
942,-129
943,-123
944,-121
945,-114
946,-112
947,-108
948,-100
949,-99
950,-102
951,-97
952,-103
953,-120
954,-137
955,-153
956,-156
957,-149
958,-145
959,-144
960,-148
961,-161
962,-174
963,-171
964,-157
965,-146
966,-131
967,-116
968,-116
969,-125
970,-149
971,-187
972,-183
973,-181
974,-172
975,-166
976,-172
977,-175
978,-181
979,-189
980,-183
981,-174
982,-167
983,-154
984,-149
985,-155
986,-165
987,-174
988,-173
989,-174
990,-178
991,-176
992,-170
993,-158
994,-145
995,-143
996,-147
997,-141
998,-134
999,-127
1000,-117
1001,-121
1002,-130
1003,-142
1004,-165
1005,-167
1006,-170
1007,-171
1008,-164
1009,-159
1010,-167
1011,-180
1012,-186
1013,-181
1014,-171
1015,-152
1016,-135
1017,-134
1018,-136
1019,-142
1020,-151
1021,-148
1022,-140
1023,-129
1024,-110
1025,-96
1026,-99
1027,-110
1028,-136
1029,-167
1030,-184
1031,-200
1032,-214
1033,-207
1034,-192
1035,-187
1036,-184
1037,-187
1038,-202
1039,-201
1040,-182
1041,-166
1042,-165
1043,-167
1044,-172
1045,-184
1046,-195
1047,-199
1048,-190
1049,-170
1050,-153
1051,-153
1052,-180
1053,-224
1054,-248
1055,-249
1056,-240
1057,-224
1058,-200
1059,-178
1060,-163
1061,-161
1062,-161
1063,-161
1064,-160
1065,-157
1066,-137
1067,-104
1068,-87
1069,-81
1070,-74
1071,-54
1072,-29
1073,-2
1074,27
1075,52
1076,64
1077,55
1078,24
1079,-25
1080,-83
1081,-133
1082,-176
1083,-212
1084,-226
1085,-238
1086,-261
1087,-284
1088,-309
1089,-337
1090,-348
1091,-342
1092,-328
1093,-295
1094,-252
1095,-213
1096,-176
1097,-157
1098,-147
1099,-130
1100,-123
1101,-126
1102,-120
1103,-115
1104,-111
1105,-91
1106,-77
1107,-63
1108,-59
1109,-54
1110,-51
1111,-58
1112,-68
1113,-77
1114,-79
1115,-74
1116,-67
1117,-64
1118,-66
1119,-66
1120,-70
1121,-79
1122,-83
1123,-76
1124,-68
1125,-61
1126,-57
1127,-56
1128,-56
1129,-61
1130,-68
1131,-64
1132,-59
1133,-65
1134,-69
1135,-66
1136,-66
1137,-68
1138,-60
1139,-40
1140,-26
1141,-19
1142,-11
1143,-14
1144,-29
1145,-41
1146,-52
1147,-57
1148,-58
1149,-55
1150,-47
1151,-38
1152,-38
1153,-42
1154,-43
1155,-41
1156,-35
1157,-23
1158,-11
1159,-4
1160,-3
1161,-7
1162,-19
1163,-28
1164,-27
1165,-22
1166,-14
1167,-5
1168,-5
1169,-11
1170,-23
1171,-48
1172,-48
1173,-45
1174,-36
1175,-26
1176,-26
1177,-37
1178,-48
