,ECG
0,34304
1,34304
2,34368
3,34368
4,34304
5,34304
6,34304
7,34368
8,34368
9,34304
10,34304
11,34304
12,34240
13,34176
14,34240
15,34240
16,34240
17,34176
18,34240
19,34304
20,34304
21,34240
22,34304
23,34368
24,34560
25,34688
26,34816
27,34944
28,35008
29,35072
30,35136
31,35136
32,35200
33,35136
34,35072
35,35008
36,34944
37,34752
38,34624
39,34624
40,34560
41,34432
42,34240
43,34176
44,33984
45,33792
46,33664
47,33600
48,33664
49,33728
50,33728
51,33792
52,33920
53,33984
54,33984
55,33920
56,33984
57,33984
58,33920
59,33792
60,33536
61,33280
62,33152
63,33472
64,34624
65,36544
66,39104
67,42240
68,45248
69,46848
70,46080
71,43072
72,39040
73,35136
74,32128
75,30336
76,29696
77,30016
78,30336
79,30912
80,31360
81,31808
82,32128
83,32384
84,32512
85,32704
86,32896
87,33024
88,33088
89,33216
90,33344
91,33344
92,33344
93,33408
94,33472
95,33536
96,33536
97,33664
98,33792
99,33856
100,33920
101,33984
102,34048
103,34112
104,34112
105,34112
106,34176
107,34240
108,34240
109,34304
110,34368
111,34496
112,34496
113,34496
114,34560
115,34688
116,34752
117,34752
118,34816
119,34880
120,34944
121,34944
122,35008
123,35072
124,35072
125,35008
126,34944
127,34944
128,34944
129,34880
130,34752
131,34688
132,34624
133,34432
134,34240
135,34112
136,33984
137,33728
138,33600
139,33536
140,33536
141,33408
142,33280
143,33280
144,33344
145,33344
146,33280
147,33344
148,33408
149,33408
150,33408
151,33472
152,33536
153,33600
154,33536
155,33600
156,33728
157,33728
158,33728
159,33664
160,33728
161,33792
162,33792
163,33792
164,33856
165,33920
166,33920
167,33984
168,33984
169,34048
170,34048
171,33984
172,33984
173,33984
174,34048
175,34048
176,34048
177,34176
178,34240
179,34176
180,34112
181,34112
182,34176
183,34176
184,34176
185,34176
186,34304
187,34304
188,34240
189,34176
190,34176
191,34176
192,34112
193,34112
194,34176
195,34112
196,34048
197,34048
198,34112
199,34112
200,34048
201,34048
202,34048
203,34112
204,34048
205,34048
206,34112
207,34176
208,34112
209,34048
210,34048
211,34112
212,34112
213,34048
214,34048
215,34176
216,34176
217,34240
218,34304
219,34432
220,34496
221,34560
222,34624
223,34816
224,34880
225,34880
226,34944
227,35072
228,35008
229,34880
230,34752
231,34624
232,34560
233,34432
234,34304
235,34240
236,34176
237,33984
238,33792
239,33664
240,33600
241,33536
242,33472
243,33536
244,33600
245,33664
246,33664
247,33728
248,33792
249,33856
250,33856
251,33856
252,33856
253,33728
254,33408
255,33088
256,33088
257,33664
258,34432
259,36032
260,38336
261,41216
262,43904
263,45312
264,44672
265,42048
266,38400
267,34944
268,32384
269,30720
270,29952
271,29888
272,30592
273,30976
274,31552
275,32000
276,32320
277,32640
278,32896
279,33024
280,33088
281,33280
282,33408
283,33472
284,33536
285,33600
286,33728
287,33792
288,33792
289,33856
290,33984
291,34048
292,34048
293,34048
294,34112
295,34048
296,33984
297,34048
298,34176
299,34304
300,34304
301,34368
302,34432
303,34432
304,34432
305,34432
306,34560
307,34560
308,34560
309,34688
310,34816
311,34816
312,34816
313,34880
314,35008
315,34944
316,34880
317,34944
318,34944
319,34944
320,34816
321,34752
322,34752
323,34752
324,34560
325,34496
326,34368
327,34304
328,34112
329,33984
330,33856
331,33728
332,33600
333,33472
334,33344
335,33344
336,33280
337,33216
338,33280
339,33408
340,33408
341,33408
342,33344
343,33408
344,33472
345,33536
346,33472
347,33536
348,33600
349,33600
350,33600
351,33664
352,33728
353,33664
354,33600
355,33664
356,33728
357,33728
358,33792
359,33856
360,33984
361,33920
362,33920
363,33920
364,33984
365,33984
366,33984
367,33984
368,34048
369,34112
370,34112
371,34176
372,34176
373,34240
374,34176
375,34112
376,34112
377,34176
378,34176
379,34112
380,34176
381,34240
382,34176
383,34112
384,34112
385,34112
386,34048
387,33984
388,34048
389,34112
390,34112
391,34048
392,33984
393,34240
394,34240
395,34112
396,33984
397,34048
398,34048
399,33984
400,33984
401,34048
402,33984
403,34112
404,34112
405,34176
406,34240
407,34176
408,34176
409,34176
410,34240
411,34176
412,34112
413,34112
414,34176
415,34176
416,34112
417,34176
418,34368
419,34496
420,34560
421,34688
422,34816
423,34880
424,34880
425,34880
426,35008
427,35072
428,34944
429,34752
430,34688
431,34560
432,34432
433,34368
434,34368
435,34368
436,34240
437,34176
438,33984
439,33856
440,33728
441,33664
442,33600
443,33664
444,33728
445,33728
446,33792
447,33920
448,34048
449,33984
450,33984
451,34048
452,33984
453,33856
454,33472
455,33216
456,33216
457,33728
458,34880
459,36736
460,39296
461,42304
462,44800
463,45888
464,44736
465,41600
466,37824
467,34496
468,32000
469,30528
470,29888
471,29952
472,30528
473,31168
474,31744
475,32128
476,32512
477,32768
478,32896
479,33088
480,33216
481,33344
482,33280
483,33408
484,33536
485,33600
486,33664
487,33728
488,33728
489,33792
490,33792
491,33856
492,33920
493,34048
494,34112
495,34176
496,34304
497,34240
498,34240
499,34240
500,34240
501,34368
502,34432
503,34496
504,34496
505,34560
506,34624
507,34624
508,34688
509,34752
510,34880
511,34880
512,34816
513,34944
514,34944
515,35008
516,34944
517,35008
518,35008
519,35008
520,34944
521,34880
522,34880
523,34816
524,34752
525,34624
526,34560
527,34432
528,34304
529,34176
530,34048
531,33920
532,33728
533,33600
534,33536
535,33472
536,33408
537,33344
538,33344
539,33344
540,33408
541,33408
542,33344
543,33472
544,33536
545,33536
546,33600
547,33664
548,33728
549,33664
550,33664
551,33728
552,33792
553,33792
554,33792
555,33792
556,33856
557,33792
558,33856
559,33920
560,33984
561,33984
562,33920
563,33920
564,34048
565,34048
566,34112
567,34112
568,34176
569,34176
570,34176
571,34240
572,34304
573,34304
574,34304
575,34304
576,34304
577,34304
578,34304
579,34304
580,34304
581,34304
582,34368
583,34304
584,34240
585,34304
586,34240
587,34176
588,34176
589,34240
590,34240
591,34176
592,34176
593,34240
594,34240
595,34176
596,34112
597,34176
598,34176
599,34112
600,34112
601,34240
602,34176
603,34176
604,34112
605,34176
606,34176
607,34176
608,34176
609,34240
610,34368
611,34304
612,34304
613,34304
614,34304
615,34304
616,34240
617,34176
618,34304
619,34368
620,34304
621,34304
622,34304
623,34240
624,34240
625,34240
626,34368
627,34560
628,34688
629,34752
630,34880
631,35008
632,35008
633,35072
634,35200
635,35328
636,35328
637,35200
638,35072
639,34944
640,34816
641,34688
642,34624
643,34560
644,34432
645,34240
646,34048
647,33984
648,33984
649,33856
650,33792
651,33856
652,33920
653,33920
654,33920
655,33984
656,34048
657,34048
658,34048
659,34112
660,34176
661,34048
662,33984
663,33664
664,33472
665,33344
666,33728
667,34880
668,36800
669,39424
670,42496
671,45248
672,46592
673,45568
674,42432
675,38464
676,33728
677,33344
678,30592
679,29888
680,30016
681,30528
682,31104
683,31616
684,32064
685,32448
686,32704
687,32832
688,33024
689,33152
690,33280
691,33408
692,33344
693,33536
694,33536
695,33600
696,33664
697,33728
698,33856
699,33856
700,33856
701,33920
702,33984
703,33984
704,33984
705,34048
706,34176
707,34112
708,34176
709,34240
710,34304
711,34368
712,34368
713,34368
714,34432
715,34496
716,34496
717,34560
718,34624
719,34688
720,34688
721,34752
722,34688
723,34880
724,34880
725,34880
726,34944
727,34944
728,34944
729,34944
730,34880
731,34880
732,34816
733,34688
734,34560
735,34496
736,34368
737,34240
738,34112
739,33984
740,33792
741,33600
742,33408
743,33344
744,33344
745,33216
746,33152
747,33152
748,33152
749,33152
750,33152
751,33216
752,33152
753,33216
754,33216
755,33280
756,33344
757,33344
758,33344
759,33344
760,33408
761,33472
762,33408
763,33472
764,33536
765,33536
766,33536
767,33472
768,33536
769,33600
770,33600
771,33600
772,33664
773,33728
774,33728
775,33728
776,33728
777,33792
778,33856
779,33856
780,33920
781,33984
782,33920
783,33856
784,33856
785,33920
786,33920
787,33920
788,33920
789,33920
790,33920
791,33856
792,33792
793,33792
794,33856
795,33792
796,33792
797,33728
798,33792
799,33728
800,33664
801,33664
802,33664
803,33600
804,33536
805,33536
806,33600
807,33600
808,33600
809,33664
810,33728
811,33728
812,33728
813,33664
814,33664
815,33664
816,33664
817,33664
818,33728
819,33664
820,33600
821,33600
822,33664
823,33664
824,33600
825,33600
826,33728
827,33664
828,33728
829,33728
830,33664
831,33664
832,33600
833,33536
834,33536
835,33600
836,33664
837,33664
838,33664
839,33728
840,33728
841,33728
842,33728
843,33792
844,33856
845,33920
846,34048
847,34240
848,34432
849,34496
850,34496
851,34624
852,34688
853,34688
854,34688
855,34752
856,34688
857,34560
858,34368
859,34240
860,34176
861,34176
862,34048
863,33984
864,33920
865,33792
866,33600
867,33472
868,33472
869,33472
870,33408
871,33408
872,33472
873,33536
874,33600
875,33600
876,33600
877,33664
878,33728
879,33728
880,33600
881,33408
882,33088
883,32832
884,32960
885,33792
886,35392
887,37696
888,40704
889,43968
890,46336
891,46720
892,44544
893,40768
894,36672
895,33152
896,30784
897,29632
898,29504
899,29888
900,30464
901,31040
902,31552
903,31808
904,32000
905,32192
906,32448
907,32640
908,32768
909,32896
910,32960
911,33088
912,33152
913,33216
914,33344
915,33472
916,33472
917,33536
918,33600
919,33728
920,33728
921,33792
922,33856
923,33920
924,33856
925,33856
926,33920
927,34048
928,34112
929,34112
930,34112
931,34176
932,34240
933,34304
934,34432
935,34560
936,34560
937,34624
938,34688
939,34688
940,34752
941,34752
942,34688
943,34816
944,34944
945,34944
946,34944
947,34944
948,34944
949,34944
950,34816
951,34816
952,34816
953,34752
954,34688
955,34560
956,34496
957,34304
958,34112
959,33920
960,33792
961,33664
962,33472
963,33472
964,33408
965,33408
966,33280
967,33280
968,33344
969,33408
970,33408
971,33472
972,33600
973,33664
974,33728
975,33728
976,33728
977,33792
978,33728
979,33728
980,33792
981,33856
982,33792
983,33728
984,33728
985,33728
986,33728
987,33792
988,33792
989,33920
990,33856
991,33728
992,33664
993,33600
994,33600
995,33600
996,33600
997,33664
998,33728
999,33792
1000,33792
1001,33856
1002,33920
1003,33984
1004,33920
1005,33984
1006,34048
1007,34048
1008,34048
1009,34112
1010,34176
1011,34240
1012,34176
1013,34176
1014,34240
1015,34240
1016,34240
1017,34240
1018,34304
1019,34432
1020,34432
1021,34368
1022,34368
1023,34368
1024,34304
1025,34240
1026,34240
1027,34304
1028,34240
1029,34240
1030,34304
1031,34368
1032,34304
1033,34240
1034,34240
1035,34240
1036,34304
1037,34240
1038,34240
1039,34304
1040,34240
1041,34240
1042,34176
1043,34176
1044,34176
1045,34112
1046,34048
1047,34048
1048,34048
1049,34048
1050,34048
1051,34048
1052,34112
1053,34048
1054,34048
1055,34048
1056,34048
1057,34048
1058,33984
1059,33984
1060,33984
1061,33984
1062,33984
1063,33984
1064,33984
1065,34048
1066,34176
1067,34240
1068,34432
1069,34560
1070,34624
1071,34624
1072,34752
1073,34816
1074,34880
1075,34944
1076,34880
1077,34816
1078,34688
1079,34496
1080,34432
1081,34496
1082,34432
1083,34304
1084,34176
1085,34048
1086,33920
1087,33792
1088,33664
1089,33600
1090,33600
1091,33600
1092,33664
1093,33792
1094,33920
1095,33920
1096,33920
1097,33920
1098,33920
1099,33920
1100,33728
1101,33472
1102,33152
1103,33024
1104,33216
1105,34240
1106,36160
1107,38592
1108,41664
1109,44736
1110,46528
1111,46080
1112,43392
1113,39552
1114,35712
1115,32576
1116,30592
1117,29760
1118,29888
1119,30400
1120,30912
1121,31360
1122,31744
1123,32000
1124,32192
1125,32448
1126,32640
1127,32768
1128,32832
1129,32896
1130,33024
1131,33152
1132,33216
1133,33152
1134,33216
1135,33344
1136,33472
1137,33536
1138,33600
1139,33728
1140,33856
1141,33856
1142,33856
1143,33856
1144,33920
1145,33920
1146,33984
1147,34048
1148,34176
1149,34176
1150,34240
1151,34304
1152,34304
1153,34304
1154,34304
1155,34368
1156,34496
1157,34560
1158,34624
1159,34752
1160,34816
1161,34880
1162,34880
1163,34880
1164,34944
1165,35008
1166,34944
1167,34944
1168,34944
1169,34880
1170,34688
1171,34560
1172,34496
1173,34368
1174,34240
1175,34112
1176,33984
1177,33920
1178,33664
1179,33408
1180,33216
1181,33088
1182,33024
1183,32896
1184,32832
1185,32832
1186,32832
1187,32832
1188,32832
1189,32896
1190,32896
1191,32896
1192,32896
1193,33024
1194,33088
1195,33152
1196,33152
1197,33216
1198,33344
1199,33344
1200,33280
1201,33280
1202,33408
1203,33472
1204,33472
1205,33536
1206,33664
1207,33728
1208,33728
1209,33728
1210,33792
1211,33728
1212,33664
1213,33664
1214,33664
1215,33728
1216,33664
1217,33664
1218,33728
1219,33792
1220,33728
1221,33664
1222,33600
1223,33664
1224,33664
1225,33600
1226,33600
1227,33664
1228,33728
1229,33728
1230,33728
1231,33792
1232,33728
1233,33728
1234,33792
1235,33856
1236,33920
1237,33920
1238,33856
1239,33984
1240,34112
1241,34112
1242,34112
1243,34112
1244,34176
1245,34176
1246,34112
1247,34176
1248,34240
1249,34240
1250,34176
1251,34048
1252,34048
1253,34048
1254,34048
1255,34112
1256,34176
1257,34176
1258,34112
1259,34048
1260,34112
1261,34112
1262,34048
1263,33984
1264,33984
1265,34048
1266,33984
1267,33984
1268,33984
1269,33984
1270,33984
1271,33920
1272,33856
1273,33920
1274,33920
1275,33984
1276,34048
1277,34240
1278,34368
1279,34496
1280,34496
1281,34624
1282,34624
1283,34688
1284,34752
1285,34816
1286,34752
1287,34560
1288,34432
1289,34368
1290,34368
1291,34304
1292,34240
1293,34176
1294,34048
1295,33856
1296,33664
1297,33600
1298,33600
1299,33600
1300,33600
1301,33664
1302,33728
1303,33728
1304,33728
1305,33792
1306,33856
1307,33920
1308,33920
1309,33920
1310,33856
1311,33600
1312,33280
1313,33152
1314,33600
1315,34688
1316,36416
1317,38848
1318,41920
1319,44800
1320,46272
1321,45376
1322,42432
1323,38720
1324,35200
1325,32384
1326,30656
1327,29952
1328,30016
