,ECG
0,33792
1,33664
2,33728
3,33984
4,34176
5,34112
6,33920
7,33920
8,33984
9,34112
10,34176
11,34176
12,34176
13,34304
14,34432
15,34624
16,34752
17,35008
18,35392
19,35776
20,35776
21,35584
22,35520
23,35776
24,35904
25,35776
26,35520
27,35520
28,35520
29,35520
30,35584
31,35776
32,35904
33,36032
34,36160
35,36352
36,36672
37,36928
38,37120
39,37056
40,36864
41,36672
42,36544
43,36416
44,36352
45,36416
46,36288
47,36160
48,36096
49,36032
50,36160
51,36160
52,35968
53,35776
54,35648
55,35520
56,35136
57,34816
58,34688
59,34560
60,34432
61,34304
62,34240
63,34240
64,34240
65,34304
66,34368
67,34112
68,33792
69,33792
70,33920
71,33984
72,34048
73,34112
74,34304
75,34560
76,34880
77,35328
78,35648
79,35840
80,35904
81,36096
82,36288
83,36544
84,36672
85,36672
86,36800
87,36864
88,36992
89,37248
90,37376
91,37504
92,37504
93,37568
94,37696
95,38016
96,38464
97,38848
98,39232
99,39616
100,39936
101,40128
102,40192
103,40000
104,39680
105,39168
106,38208
107,37184
108,36288
109,35520
110,35008
111,34816
112,34880
113,35200
114,35968
115,37568
116,39808
117,42560
118,44928
119,46528
120,46720
121,44928
122,41536
123,37120
124,32832
125,29440
126,27392
127,26432
128,26304
129,26752
130,27328
131,28032
132,28800
133,29760
134,30656
135,31424
136,32128
137,32832
138,33408
139,34048
140,34432
141,34688
142,34752
143,34688
144,34688
145,34624
146,34368
147,34240
148,34240
149,34176
150,33920
151,33792
152,33728
153,33728
154,33728
155,33600
156,33472
157,33472
158,33152
159,32640
160,32320
161,32128
162,32000
163,31808
164,31744
165,31808
166,31744
167,31616
168,31744
169,32064
170,32320
171,32128
172,31680
173,31488
174,31424
175,31488
176,31616
177,31808
178,32064
179,32320
180,32448
181,32640
182,32768
183,32896
184,32960
185,33088
186,33344
187,33664
188,33984
189,34048
190,34112
191,34304
192,34368
193,34368
194,34240
195,33920
196,33664
197,33536
198,33472
199,33472
200,33344
201,33280
202,33216
203,33216
204,33216
205,33216
206,33216
207,33280
208,33344
209,33344
210,33216
211,33216
212,33024
213,32832
214,32896
215,33088
216,33280
217,33280
218,33216
219,33152
220,33152
221,33216
222,33408
223,33408
224,33472
225,33472
226,33536
227,33664
228,33728
229,33728
230,33856
231,33984
232,33984
233,33728
234,33408
235,33280
236,33344
237,33408
238,33408
239,33344
240,33280
241,33344
242,33408
243,33600
244,33600
245,33536
246,33536
247,33664
248,33792
249,33920
250,34112
251,34240
252,34368
253,34624
254,34816
255,34752
256,34624
257,34560
258,34496
259,34368
260,34240
261,34112
262,33984
263,33728
264,33344
265,33088
266,33152
267,33344
268,33344
269,33344
270,33344
271,33472
272,33536
273,33600
274,33664
275,33728
276,33600
277,33536
278,33536
279,33664
280,33856
281,34304
282,35072
283,36288
284,38016
285,40320
286,43136
287,45248
288,46080
289,45120
290,42432
291,38464
292,34304
293,30848
294,28608
295,27520
296,27328
297,27776
298,28672
299,29888
300,30976
301,31744
302,32384
303,33088
304,33600
305,33920
306,34048
307,33984
308,33856
309,33920
310,34048
311,34048
312,34048
313,33984
314,33920
315,33920
316,33792
317,33728
318,33728
319,33792
320,33664
321,33600
322,33536
323,33664
324,33856
325,33728
326,33536
327,33536
328,33728
329,33920
330,33984
331,34112
332,34304
333,34432
334,34560
335,34688
336,34688
337,34560
338,34432
339,34368
340,34432
341,34496
342,34496
343,34368
344,34368
345,34368
346,34496
347,34624
348,34624
349,34560
350,34496
351,34496
352,34560
353,34496
354,34432
355,34432
356,34304
357,34112
358,34048
359,34112
360,34112
361,34176
362,34176
363,34112
364,34112
365,34176
366,34368
367,34432
368,34432
369,34560
370,34624
371,34624
372,34688
373,34688
374,34624
375,34624
376,34624
377,34496
378,34496
379,34496
380,34432
381,34304
382,34304
383,34304
384,34304
385,34368
386,34368
387,34496
388,34496
389,34496
390,34560
391,34560
392,34496
393,34432
394,34496
395,34560
396,34624
397,34432
398,34176
399,34048
400,33984
401,33984
402,33984
403,34112
404,34176
405,34112
406,34112
407,34112
408,34112
409,34176
410,34176
411,34304
412,34432
413,34432
414,34432
415,34496
416,34624
417,34688
418,34752
419,34752
420,34688
421,34688
422,34752
423,34816
424,34944
425,35136
426,35008
427,35008
428,35008
429,34880
430,34688
431,34624
432,34560
433,34496
434,34368
435,34176
436,34048
437,33920
438,33728
439,33664
440,33792
441,33920
442,33920
443,33856
444,33920
445,34048
446,34176
447,34112
448,33984
449,33856
450,33792
451,33792
452,33664
453,33728
454,33984
455,34752
456,36032
457,37952
458,40576
459,43520
460,45568
461,46208
462,44992
463,42176
464,38208
465,34112
466,30976
467,28864
468,27776
469,27584
470,28096
471,28864
472,29824
473,30720
474,31552
475,32192
476,32832
477,33408
478,33792
479,33856
480,33856
481,33856
482,33856
483,33984
484,34048
485,33920
486,33664
487,33600
488,33600
489,33728
490,33856
491,33600
492,33344
493,33216
494,33280
495,33216
496,33280
497,33344
498,33408
499,33536
500,33664
501,33664
502,33792
