,ECG
0,32576
1,32448
2,32384
3,32320
4,32256
5,32192
6,32192
7,32192
8,32256
9,32320
10,32384
11,32448
12,32512
13,32512
14,32576
15,32640
16,32704
17,32768
18,32832
19,32832
20,32832
21,32896
22,32960
23,32960
24,33024
25,33088
26,33152
27,33216
28,33280
29,33408
30,33408
31,33344
32,33344
33,33408
34,33472
35,33536
36,33600
37,33728
38,33856
39,33856
40,33920
41,33856
42,33856
43,33920
44,33984
45,34048
46,34048
47,33984
48,33920
49,33856
50,33856
51,33856
52,33792
53,33664
54,33408
55,33216
56,33088
57,32896
58,32704
59,32576
60,32512
61,32512
62,32448
63,32512
64,32512
65,32576
66,32640
67,32704
68,32704
69,32768
70,32832
71,32896
72,32896
73,32960
74,33024
75,33088
76,33216
77,33216
78,33152
79,33152
80,33088
81,33088
82,33088
83,32896
84,32448
85,31872
86,31744
87,32320
88,33728
89,35840
90,38784
91,41472
92,42880
93,42816
94,41216
95,39040
96,36608
97,34176
98,32000
99,30400
100,29248
101,28736
102,28864
103,29568
104,30528
105,31360
106,32000
107,32512
108,32896
109,33152
110,33216
111,33280
112,33344
113,33408
114,33472
115,33536
116,33600
117,33664
118,33664
119,33664
120,33728
121,33792
122,33792
123,33856
124,33920
125,33984
126,34048
127,34048
128,34112
129,34112
130,34176
131,34240
132,34304
133,34368
134,34368
135,34432
136,34496
137,34560
138,34624
139,34688
140,34752
141,34752
142,34816
143,34816
144,34816
145,34752
146,34688
147,34624
148,34496
149,34432
150,34304
151,34048
152,33856
153,33664
154,33472
155,33216
156,33024
157,32768
158,32576
159,32448
160,32320
161,32192
162,32128
163,32064
164,32064
165,32064
166,32064
167,32064
168,32128
169,32192
170,32320
171,32384
172,32512
173,32576
174,32640
175,32704
176,32704
177,32832
178,32896
179,33024
180,33088
181,33088
182,33088
183,33152
184,33152
185,33152
186,33152
187,33152
188,33216
189,33216
190,33216
191,33216
192,33216
193,33216
194,33280
195,33344
196,33408
197,33472
198,33536
199,33664
200,33728
201,33792
202,33856
203,33856
204,33856
205,33856
206,33920
207,33984
208,34048
209,33984
210,33920
211,33856
212,33792
213,33728
214,33664
215,33536
216,33344
217,33216
218,33088
219,32832
220,32704
221,32576
222,32512
223,32448
224,32448
225,32512
226,32576
227,32640
228,32640
229,32704
230,32768
231,32768
232,32768
233,32832
234,32768
235,32768
236,32832
237,32896
238,32960
239,33088
240,33216
241,33280
242,33280
243,33280
244,33152
245,32832
246,32320
247,31808
248,31872
249,32640
250,34112
251,36288
252,39296
253,41920
254,43136
255,42752
256,40960
257,38656
258,36160
259,33728
260,31488
261,29824
262,28800
263,28480
264,28992
265,29760
266,30784
267,31552
268,32192
269,32640
270,32896
271,33344
272,33920
273,34112
274,33728
275,33344
276,33088
277,33088
278,33152
279,33344
280,33472
281,33536
282,33536
283,33536
284,33600
285,33728
286,33792
287,33856
288,33920
289,33920
290,33984
291,34048
292,34112
293,34176
294,34176
295,34304
296,34432
297,34560
298,34624
299,34752
300,35008
301,35392
302,35712
303,35392
304,34944
305,34624
306,34432
307,34368
308,34240
309,34240
310,34176
311,34176
312,34112
313,33984
314,33856
315,33728
316,33472
317,33216
318,32960
319,32704
320,32512
321,32384
322,32320
323,32256
324,32128
325,32128
326,32064
327,32128
328,32128
329,32128
330,32128
331,32192
332,32256
333,32320
334,32384
335,32512
336,32576
337,32640
338,32832
339,32896
340,32896
341,32960
342,32960
343,33024
344,33024
345,33024
346,33024
347,33024
348,33088
349,33152
350,33216
351,33280
352,33280
353,33280
354,33344
355,33472
356,33536
357,33408
358,33280
359,33216
360,33280
361,33280
362,33280
363,33408
364,33536
365,33664
366,33792
367,33856
368,33856
369,33856
370,33792
371,33664
372,33600
373,33600
374,33728
375,33856
376,33856
377,33792
378,33664
379,33600
380,33536
381,33472
382,33408
383,33280
384,33216
385,33088
386,32896
387,32768
388,32768
389,32704
390,32640
391,32576
392,32576
393,32640
394,32768
395,32832
396,32768
397,32768
398,32768
399,32768
400,32832
401,32960
402,33024
403,33024
404,33088
405,33152
406,33152
407,33216
408,33216
409,33280
410,33216
411,32960
412,32512
413,31936
414,31808
415,32448
416,33792
417,35840
418,38720
419,41472
420,43200
421,43072
422,41408
423,39040
424,36416
425,33920
426,31680
427,30016
428,28992
429,28608
430,28928
431,29888
432,30912
433,31680
434,32192
435,32576
436,32832
437,33024
438,33152
439,33216
440,33344
441,33344
442,33344
443,33344
444,33408
445,33536
446,33600
447,33600
448,33664
449,33664
450,33728
451,33856
452,33920
453,33984
454,34048
455,34048
456,34112
457,34048
458,34112
459,34112
460,34176
461,34240
462,34304
463,34432
464,34496
465,34560
466,34624
467,34688
468,34752
469,34752
470,34816
471,34816
472,34880
473,34816
474,34752
475,34560
476,34496
477,34432
478,34368
479,34240
480,33984
481,33792
482,33536
483,33280
484,33088
485,32832
486,32640
487,32448
488,32256
489,32128
490,32064
491,32000
492,31936
493,31872
494,31936
495,32000
496,32064
497,32064
498,32128
499,32256
500,32320
501,32448
502,32576
503,32640
504,32640
505,32768
506,32832
507,32896
508,32896
509,32896
510,32960
511,33088
512,33152
513,33216
514,33216
515,33216
516,33216
517,33216
518,33216
519,33216
520,33216
521,33216
522,33280
523,33344
524,33408
525,33408
526,33344
527,33280
528,33280
529,33280
530,33344
531,33344
532,33344
533,33344
534,33408
535,33600
536,33728
537,33792
538,33792
539,33856
540,33856
541,33856
542,33856
543,33856
544,33856
545,33920
546,33984
547,33920
548,33856
549,33728
550,33664
551,33472
552,33344
553,33216
554,33152
555,33152
556,33088
557,32896
558,32832
559,32768
560,32704
561,32704
562,32704
563,32704
564,32704
565,32768
566,32768
567,32896
568,32960
569,32960
570,32960
571,33024
572,33024
573,33024
574,33024
575,33088
576,33088
577,33088
578,33152
579,33152
580,33216
581,33152
582,32960
583,32448
584,31936
585,31872
586,32448
587,33920
588,36032
589,39040
590,41792
591,43264
592,43072
593,41280
594,38912
595,36352
596,33792
597,31616
598,29952
599,28928
600,28608
601,28992
602,29952
603,30912
604,31808
605,32384
606,32832
607,33152
608,33344
609,33408
610,33408
611,33472
612,33600
613,33664
614,33664
615,33600
616,33600
617,33600
618,33664
619,33728
620,33728
621,33792
622,33792
623,33856
624,33856
625,33792
626,33856
627,33920
628,33984
629,34112
630,34240
631,34368
632,34368
633,34432
634,34560
635,34624
636,34688
637,34752
638,34816
639,34880
640,34880
641,34816
642,34752
643,34752
644,34752
645,34688
646,34624
647,34624
648,34560
649,34432
650,34304
651,34048
652,33792
653,33536
654,33280
655,33088
656,32896
657,32768
658,32576
659,32320
660,32064
661,32000
662,31936
663,31936
664,32000
665,32064
666,32064
667,32064
668,32128
669,32192
670,32256
671,32384
672,32448
673,32576
674,32640
675,32704
676,32832
677,32896
678,32896
679,32960
680,32960
681,32960
682,33024
683,33088
684,33152
685,33216
686,33216
687,33216
688,33216
689,33216
690,33216
691,33216
692,33152
693,33152
694,33216
695,33280
696,33280
697,33280
698,33280
699,33280
700,33344
701,33344
702,33408
703,33408
704,33408
705,33344
706,33280
707,33280
708,33344
709,33408
710,33536
711,33664
712,33792
713,33920
714,33984
715,33984
716,33920
717,33856
718,33792
719,33856
720,33920
721,33920
722,33920
723,33920
724,33856
725,33792
726,33728
727,33664
728,33472
729,33344
730,33280
731,33280
732,33216
733,33088
734,32896
735,32704
736,32640
737,32640
738,32640
739,32704
740,32768
741,32832
742,32896
743,32960
744,33024
745,33088
746,33088
747,33088
748,33088
749,33152
750,33216
751,33280
752,33344
753,33344
754,33280
755,33280
756,33344
757,33152
758,32768
759,32192
760,31744
761,31872
762,32768
763,34560
764,36992
765,40768
766,42560
767,43520
768,42688
769,40576
770,38144
771,35584
772,33088
773,30976
774,29440
775,28544
776,28416
777,29056
778,30080
779,31104
780,31872
781,32384
782,32704
783,32960
784,33152
785,33280
786,33408
787,33408
788,33408
789,33408
790,33408
791,33472
792,33536
793,33664
794,33664
795,33664
796,33728
797,33728
798,33728
799,33728
800,33792
801,33856
802,33920
803,33984
804,33984
805,34048
806,34112
807,34176
808,34240
809,34368
810,34496
811,34560
812,34624
813,34624
814,34560
815,34624
816,34752
817,34752
818,34752
819,34688
820,34688
821,34624
822,34560
823,34432
824,34368
825,34240
826,34112
827,33920
828,33728
829,33536
830,33280
831,32960
832,32768
833,32640
834,32448
835,32256
836,32064
837,31936
838,31872
839,31936
840,32064
841,32064
842,32064
843,32064
844,32128
845,32192
846,32256
847,32384
848,32448
849,32576
850,32704
851,32768
852,32768
853,32832
854,32896
855,32960
856,33024
857,33024
858,33024
859,33088
860,33088
861,33088
862,33152
863,33216
864,33280
865,33280
866,33280
867,33280
868,33344
869,33344
870,33280
871,33216
872,33216
873,33216
874,33216
875,33216
876,33216
877,33216
878,33216
879,33216
880,33216
881,33216
882,33216
883,33216
884,33280
885,33344
886,33344
887,33408
888,33536
889,33600
890,33664
891,33792
892,33856
893,33920
894,33920
895,33920
896,33856
897,33856
898,33856
899,33856
900,33856
901,33792
902,33728
903,33664
904,33600
905,33536
906,33408
907,33344
908,33216
909,33216
910,33152
911,33024
912,32896
913,32832
914,32768
915,32768
916,32768
917,32768
918,32768
919,32768
920,32704
921,32704
922,32768
923,32896
924,32896
925,32960
926,32960
927,33024
928,33088
929,33088
930,33152
931,33216
932,33216
933,33280
934,33344
935,33216
936,33024
937,32384
938,31744
939,31680
940,32384
941,33792
942,36032
943,39104
944,41920
945,43392
946,43072
947,41280
948,38848
949,36352
950,33856
951,31616
952,29952
953,28800
954,28416
955,28736
956,29632
957,30656
958,31552
959,32128
960,32704
961,32896
962,33088
963,33216
964,33280
965,33344
966,33408
967,33408
968,33408
969,33408
970,33472
971,33472
972,33536
973,33600
974,33664
975,33792
976,33792
977,33792
978,33792
979,33856
980,33856
981,33984
982,33984
983,34048
984,34048
985,34112
986,34240
987,34240
988,34368
989,34432
990,34432
991,34560
992,34624
993,34624
994,34688
995,34752
996,34752
997,34688
998,34624
999,34624
1000,34560
1001,34496
1002,34368
1003,34304
1004,34176
1005,33856
1006,33728
1007,33472
1008,33280
1009,33024
1010,32832
1011,32640
1012,32448
1013,32320
1014,32064
1015,32000
1016,32000
1017,32000
1018,31936
1019,32000
1020,32000
1021,32128
1022,32128
1023,32256
1024,32384
1025,32448
1026,32448
1027,32512
1028,32640
1029,32768
1030,32832
1031,32896
1032,32896
1033,33024
1034,33024
1035,33024
1036,33024
1037,33088
1038,33152
1039,33152
1040,33152
1041,33152
1042,33152
1043,33152
1044,33088
1045,33088
1046,33088
1047,33152
1048,33216
1049,33280
1050,33216
1051,33280
1052,33216
1053,33216
