,ECG
0,33472
1,33536
2,33536
3,33600
4,33664
5,33984
6,34560
7,35712
8,37504
9,39936
10,42368
11,43520
12,42880
13,40896
14,38592
15,36544
16,34816
17,33408
18,32512
19,31936
20,31680
21,31616
22,31552
23,31552
24,31616
25,31680
26,31744
27,31872
28,32064
29,32256
30,32448
31,32640
32,32704
33,32832
34,32960
35,33088
36,33216
37,33280
38,33408
39,33536
40,33472
41,33728
42,33792
43,33856
44,33920
45,33920
46,34048
47,34176
48,34176
49,34240
50,34176
51,34176
52,34304
53,34368
54,34368
55,34368
56,34432
57,34496
58,34496
59,34496
60,34432
61,34368
62,34304
63,34304
64,34240
65,34176
66,34112
67,34048
68,33984
69,33984
70,33984
71,33984
72,34048
73,34112
74,34112
75,34048
76,34112
77,34048
78,34048
79,33984
80,33856
81,33728
82,33664
83,33536
84,33472
85,33408
86,33344
87,33344
88,33344
89,33408
90,33472
91,33536
92,33600
93,33600
94,33664
95,33728
96,33856
97,33856
98,33856
99,33856
100,33920
101,33984
102,34048
103,34048
104,33984
105,33920
106,33920
107,33920
108,33984
109,33984
110,34048
111,34048
112,34048
113,34048
114,34048
115,33984
116,33856
117,33792
118,33792
119,33792
120,33792
121,33792
122,33792
123,33792
124,33792
125,33792
126,33728
127,33792
128,33792
129,33792
130,33728
131,33792
132,33728
133,33728
134,33792
135,33856
136,33920
137,33920
138,33920
139,33856
140,33856
141,33984
142,34112
143,34304
144,34368
145,34368
146,34432
147,34496
148,34560
149,34560
150,34560
151,34624
152,34688
153,34688
154,34688
155,34688
156,34688
157,34560
158,34496
159,34304
160,34048
161,33792
162,33600
163,33344
164,33216
165,33088
166,33088
167,33088
168,33088
169,33216
170,33280
171,33344
172,33408
173,33536
174,33536
175,33536
176,33600
177,33792
178,34304
179,35328
180,36928
181,39168
182,41792
183,43712
184,43840
185,42368
186,40000
187,37888
188,35776
189,33600
190,33344
191,31872
192,31488
193,31296
194,31168
195,31104
196,31104
197,31296
198,31424
199,31616
200,31872
201,32128
202,32384
203,32576
204,32768
205,32768
206,32960
207,33088
208,33152
209,33280
210,33280
211,33408
212,33536
213,33600
214,33728
215,33792
216,33920
217,33984
218,33984
219,34048
220,34112
221,34176
222,34240
223,34304
224,34304
225,34368
226,34432
227,34496
228,34496
229,34496
230,34496
231,34496
232,34432
233,34496
234,34496
235,34432
236,34368
237,34240
238,34176
239,34112
240,34048
241,33984
242,33984
243,33984
244,33920
245,33984
246,33984
247,34048
248,34048
249,33984
250,33920
251,33856
252,33728
253,33664
254,33536
255,33472
256,33408
257,33472
258,33408
259,33408
260,33344
261,33344
262,33344
263,33408
264,33536
265,33472
266,33600
267,33600
268,33664
269,33728
270,33728
271,33792
272,33792
273,33856
274,33856
275,33856
276,33856
277,33920
278,33920
279,33856
280,33920
281,33920
282,33920
283,33920
284,33920
285,33984
286,33984
287,33984
288,33920
289,33984
290,33984
291,33920
292,33856
293,33792
294,33856
295,33792
296,33856
297,33792
298,33792
299,33792
300,33792
301,33792
302,33856
303,33728
304,33728
305,33728
306,33728
307,33792
308,33792
309,33792
310,33792
311,33856
312,33920
313,33984
314,33984
315,33984
316,33920
317,33920
318,33920
319,33856
320,33856
321,33984
322,34048
323,34176
324,34304
325,34432
326,34624
327,34624
328,34560
329,34496
330,34496
331,34624
332,34688
333,34688
334,34624
335,34560
336,34560
337,34560
338,34496
339,34304
340,34240
341,33856
342,33536
343,33344
344,33216
345,33152
346,33152
347,33088
348,33088
349,33152
350,33216
351,33280
352,33280
353,33344
354,33408
355,33408
356,33472
357,33664
358,33984
359,34752
360,35968
361,37760
362,40384
363,42752
364,44096
365,43584
366,41728
367,39424
368,37184
369,34752
370,33600
371,32384
372,31680
373,31424
374,31232
375,31104
376,31040
377,31104
378,31296
379,31488
380,31680
381,31872
382,32064
383,32256
384,32448
385,32576
386,32768
387,32896
388,33024
389,33088
390,33280
391,33344
392,33408
393,33472
394,33536
395,33600
396,33728
397,33792
398,33856
399,33984
400,34048
401,34112
402,34176
403,34240
404,34304
405,34304
406,34368
407,34432
408,34496
409,34560
410,34560
411,34496
412,34496
413,34432
414,34368
415,34368
416,34304
417,34304
418,34240
419,34176
420,34048
421,33984
422,33984
423,34048
424,34048
425,33984
426,33984
427,33984
428,33984
429,34048
430,34048
431,33984
432,33920
433,33856
434,33792
435,33664
436,33536
437,33472
438,33408
439,33408
440,33344
441,33280
442,33280
443,33344
444,33344
445,33344
446,33472
447,33536
448,33536
449,33600
450,33600
451,33664
452,33792
453,33856
454,33856
455,33856
456,33856
457,33920
458,33920
459,33984
460,33984
461,33984
462,33984
463,34048
464,34048
465,34112
466,34048
467,34048
468,33984
469,33984
470,33920
471,33856
472,33856
473,33856
474,33856
475,33856
476,33856
477,33856
478,33856
479,33792
480,33792
481,33792
482,33792
483,33728
484,33792
485,33792
486,33792
487,33856
488,33856
489,33920
490,33856
491,33920
492,33856
493,33856
494,33792
495,33856
496,33856
497,33856
498,33920
499,33920
500,33920
501,33920
502,33920
503,33920
504,33856
505,33792
506,33856
507,33856
508,33920
509,33920
510,33920
511,33984
512,33984
513,33984
514,34112
515,34176
516,34368
517,34432
518,34496
519,34560
520,34496
521,34432
522,34368
523,34368
524,34368
525,34432
526,34496
527,34496
528,34496
529,34432
530,34368
531,34304
532,34176
533,33984
534,33728
535,33536
536,33408
537,33280
538,33152
539,33152
540,33216
541,33216
542,33280
543,33344
544,33408
545,33472
546,33536
547,33600
548,33664
549,33728
550,33856
551,34304
552,35392
553,36928
554,39104
555,41664
556,43520
557,43648
558,42304
559,40256
560,38208
561,36224
562,34496
563,33088
564,31872
565,31744
566,31360
567,31232
568,31168
569,31232
570,31296
571,31488
572,31680
573,31808
574,32064
575,32256
576,32384
577,32576
578,32768
579,32896
580,32896
581,33088
582,33152
583,33280
584,33344
585,33472
586,33472
587,33472
588,33536
589,33664
590,33856
591,33984
592,34048
593,34112
594,34176
595,34176
596,34240
597,34240
598,34304
599,34368
600,34368
601,34368
602,34432
603,34432
604,34432
605,34432
606,34368
607,34368
608,34368
609,34368
610,34304
611,34240
612,34112
613,34048
614,34048
615,34048
616,34048
617,33984
618,33984
619,33984
620,34048
621,34048
622,34048
623,33984
624,33920
625,33856
626,33792
627,33600
628,33472
629,33344
630,33280
631,33344
632,33408
633,33408
634,33344
635,33344
636,33344
637,33344
638,33408
639,33408
640,33472
641,33536
642,33600
643,33600
644,33664
645,33728
646,33792
647,33792
648,33792
649,33920
650,33920
651,33984
652,33984
653,34048
654,34048
655,33984
656,33984
657,34048
658,33984
659,33920
660,33920
661,33920
662,33920
663,33920
664,33920
665,33984
666,33984
667,33920
668,33856
669,33856
670,33792
671,33856
672,33856
673,33792
674,33728
675,33664
676,33664
677,33728
678,33792
679,33792
680,33856
681,33856
682,33792
683,33728
684,33728
685,33792
686,33856
687,33920
688,33856
689,33792
690,33792
691,33792
692,33792
693,33856
694,33856
695,33856
696,33920
697,33984
698,33984
699,33984
700,33920
701,33920
702,33920
703,33920
704,33920
705,33920
706,33920
707,33920
708,33920
709,33920
710,33984
711,34048
712,33984
713,33856
714,33856
715,33984
716,34048
717,34112
718,34240
719,34368
720,34496
721,34496
722,34496
723,34496
724,34432
725,34368
726,34368
727,34432
728,34560
729,34560
730,34496
731,34432
732,34368
733,34240
734,34112
735,34048
736,33856
737,33664
738,33472
739,33408
740,33344
741,33344
742,33280
743,33280
744,33344
745,33472
746,33536
747,33600
748,33600
749,33664
750,33664
751,33664
752,33728
753,33920
754,34368
755,35264
756,36736
757,38848
758,41536
759,43520
760,43840
761,42560
762,40512
763,38400
764,36416
765,34624
766,33152
767,32128
768,31616
769,31360
770,31232
771,31232
772,31168
773,31296
774,31424
775,31552
776,31744
777,32000
778,32192
779,32384
780,32576
781,32768
782,32896
783,32960
784,33088
785,33280
786,33344
787,33408
788,33536
789,33600
790,33664
791,33728
792,33728
793,33792
794,33856
795,33920
796,33984
797,34048
798,34112
799,34112
800,34176
801,34240
802,34304
803,34368
804,34432
805,34496
806,34496
807,34496
808,34496
809,34496
810,34432
811,34432
812,34368
813,34304
814,34240
815,34176
816,34112
817,33984
818,33920
819,33920
820,33920
821,33984
822,33984
823,34048
824,34048
825,33984
826,33920
827,33792
828,33728
829,33600
830,33536
831,33472
832,33472
833,33408
834,33280
835,33216
836,33216
837,33280
838,33280
839,33280
840,33280
841,33280
842,33344
843,33408
844,33472
845,33536
846,33600
847,33600
848,33728
849,33728
850,33728
851,33728
852,33856
853,33920
854,33984
855,33984
856,33984
857,33984
858,33984
859,33984
860,33984
861,34048
862,33984
863,33984
864,33984
865,33984
866,33920
867,33920
868,33920
869,33920
870,33920
871,33856
872,33856
873,33856
874,33856
875,33856
876,33792
877,33792
878,33856
879,33856
880,33856
881,33792
882,33792
883,33792
884,33792
885,33792
886,33728
887,33728
888,33728
889,33728
890,33728
891,33792
892,33792
893,33792
894,33792
895,33856
896,33920
897,33920
898,33920
899,33920
900,33920
901,33920
902,33856
903,33856
904,33792
905,33792
906,33856
907,33920
908,33920
909,33920
910,33920
911,33920
912,33984
913,33920
914,33984
915,34048
916,34048
917,33984
918,33920
919,33920
920,33856
921,33856
922,33920
923,33920
924,33920
925,33920
926,33920
927,33920
928,33920
929,33856
930,33920
931,33984
932,34112
933,34240
934,34304
935,34368
936,34432
937,34496
938,34496
939,34368
940,34240
941,34176
942,34240
943,34368
944,34432
945,34496
946,34432
947,34368
948,34368
949,34240
950,34112
951,33984
952,33792
953,33600
954,33472
955,33344
956,33280
957,33280
958,33344
959,33408
960,33472
961,33472
962,33536
963,33600
964,33600
965,33600
966,33664
967,33728
968,33792
969,34112
970,34816
971,36096
972,38016
973,40512
974,42944
975,44032
976,43392
977,41408
978,39360
979,37312
980,35328
981,33728
982,32448
983,31744
984,31296
985,31104
986,31040
987,31040
988,31104
989,31296
990,31488
991,31744
992,31936
993,32192
994,32320
995,32512
996,32640
997,32768
998,32896
999,32960
1000,33088
1001,33216
1002,33344
1003,33408
1004,33472
1005,33472
1006,33600
1007,33728
1008,33856
1009,33856
1010,33920
1011,33984
1012,34048
1013,34112
1014,34176
1015,34240
1016,34304
1017,34304
1018,34368
1019,34432
1020,34432
1021,34432
1022,34496
1023,34496
1024,34560
1025,34560
1026,34432
1027,34368
1028,34304
1029,34304
1030,34240
1031,34176
1032,34112
1033,34048
1034,34048
1035,34048
1036,33984
1037,33984
1038,33984
1039,33984
1040,33984
1041,33920
1042,33856
1043,33792
1044,33728
1045,33600
1046,33536
1047,33408
1048,33408
1049,33344
1050,33344
1051,33280
1052,33216
1053,33152
1054,33088
1055,33088
1056,33152
1057,33216
1058,33280
1059,33280
1060,33344
1061,33408
1062,33536
1063,33600
1064,33600
1065,33664
1066,33664
1067,33728
1068,33728
1069,33728
1070,33792
1071,33856
1072,33920
1073,33984
1074,34048
1075,34112
1076,34048
1077,34048
1078,33984
1079,33984
1080,33984
1081,33984
1082,33920
1083,33856
1084,33856
1085,33792
1086,33856
1087,33856
1088,33856
1089,33856
1090,33856
1091,33856
1092,33856
1093,33856
1094,33792
1095,33792
1096,33792
1097,33728
1098,33728
1099,33728
1100,33728
1101,33664
1102,33728
1103,33792
1104,33792
1105,33792
1106,33728
1107,33728
1108,33792
1109,33856
1110,33856
1111,33920
1112,33920
1113,33920
1114,33856
1115,33856
1116,33856
1117,33920
1118,33920
1119,33856
1120,33856
1121,33856
1122,33856
1123,33792
1124,33856
1125,33920
1126,33920
1127,33920
1128,33920
1129,33920
1130,33920
1131,33920
1132,33920
1133,33984
1134,33984
1135,33984
1136,33984
1137,33984
1138,33920
1139,33920
1140,33920
1141,33920
1142,33984
1143,33984
1144,34048
1145,34048
1146,33984
1147,33984
1148,33984
1149,33920
1150,33984
1151,34048
1152,34176
1153,34368
1154,34432
1155,34496
1156,34432
1157,34368
1158,34304
1159,34240
1160,34368
1161,34432
1162,34496
1163,34496
1164,34432
1165,34368
1166,34368
1167,34240
1168,34112
1169,33984
1170,33792
1171,33600
1172,33472
1173,33344
1174,33280
1175,33280
1176,33344
1177,33408
1178,33472
1179,33472
1180,33408
1181,33472
1182,33472
1183,33536
1184,33600
1185,33664
1186,33792
1187,33984
1188,34624
1189,35520
1190,37120
1191,39360
1192,42048
1193,43776
1194,43840
1195,42432
1196,40384
1197,38208
1198,36160
1199,34432
1200,33024
1201,32064
1202,31552
1203,31296
1204,31232
1205,31168
1206,31168
1207,31232
1208,31424
1209,31616
1210,31872
1211,32000
1212,32192
1213,32384
1214,32512
1215,32640
1216,32832
1217,32960
1218,33024
1219,33088
1220,33216
1221,33344
1222,33408
1223,33472
1224,33536
1225,33664
1226,33728
1227,33792
1228,33856
1229,33984
1230,34048
1231,34112
1232,34240
1233,34304
1234,34304
1235,34368
1236,34368
1237,34432
1238,34496
1239,34560
1240,34560
1241,34624
1242,34560
1243,34624
1244,34624
1245,34496
1246,34432
1247,34432
1248,34368
1249,34304
1250,34304
1251,34240
1252,34176
1253,34112
1254,34048
1255,34048
1256,33984
1257,33920
1258,33920
1259,33856
1260,33792
1261,33728
1262,33600
1263,33536
1264,33408
1265,33280
1266,33216
1267,33152
1268,33152
1269,33216
1270,33216
1271,33216
1272,33280
1273,33280
1274,33216
1275,33216
1276,33280
1277,33344
1278,33344
1279,33344
1280,33408
1281,33472
1282,33536
1283,33664
1284,33728
1285,33728
1286,33728
1287,33728
1288,33792
1289,33856
1290,33920
1291,33984
1292,33984
1293,33984
1294,34048
1295,34112
1296,34112
1297,34112
1298,34048
1299,34048
1300,34048
1301,33984
1302,33984
1303,33920
1304,33856
1305,33856
1306,33856
1307,33920
1308,33920
1309,33856
1310,33792
1311,33856
1312,33856
1313,33856
1314,33856
1315,33856
1316,33920
1317,33920
1318,33856
1319,33792
1320,33792
1321,33792
1322,33792
1323,33792
1324,33792
1325,33792
1326,33856
1327,33856
1328,33856
1329,33792
1330,33792
1331,33856
1332,33856
1333,33856
1334,33856
1335,33856
1336,33856
1337,33856
1338,33856
1339,33856
1340,33856
1341,33856
1342,33856
1343,33856
1344,33856
1345,33920
1346,33920
1347,33920
1348,33856
1349,33856
1350,33920
1351,33920
1352,33984
1353,33984
1354,33984
1355,34048
1356,34048
1357,34048
1358,34048
1359,34048
1360,33984
1361,33984
1362,33984
1363,33984
1364,34048
1365,34048
1366,34048
1367,34048
1368,34048
1369,33984
1370,34048
1371,34112
1372,33984
1373,34048
1374,34176
1375,34240
1376,34304
1377,34368
1378,34432
1379,34496
1380,34432
1381,34368
1382,34304
1383,34368
1384,34496
1385,34560
1386,34624
1387,34560
1388,34496
1389,34304
1390,34176
1391,34112
1392,34048
1393,33920
1394,33728
1395,33600
1396,33472
1397,33408
1398,33344
1399,33344
1400,33344
1401,33408
1402,33472
