,ECG
0,33280
1,33344
2,33344
3,33408
4,33472
5,33600
6,33600
7,33600
8,33600
9,33600
10,33536
11,33600
12,33600
13,33600
14,33536
15,33536
16,33600
17,33600
18,33600
19,33664
20,33664
21,33664
22,33664
23,33664
24,33664
25,33664
26,33664
27,33664
28,33664
29,33728
30,33728
31,33792
32,33792
33,33856
34,33792
35,33792
36,33792
37,33728
38,33664
39,33664
40,33728
41,33728
42,33728
43,33728
44,33728
45,33728
46,33792
47,33792
48,33792
49,33856
50,33856
51,33792
52,33920
53,33920
54,33920
55,33984
56,34112
57,34176
58,34304
59,34432
60,34560
61,34688
62,34752
63,34752
64,34880
65,35072
66,35008
67,35072
68,34944
69,34880
70,34752
71,34624
72,34368
73,34048
74,33792
75,33536
76,33344
77,33216
78,33152
79,33152
80,33152
81,33152
82,33216
83,33344
84,33408
85,33472
86,33472
87,33536
88,33536
89,33408
90,33280
91,33344
92,33792
93,34752
94,36352
95,39488
96,39872
97,43648
98,45952
99,46592
100,44608
101,41216
102,37568
103,34240
104,31424
105,29504
106,28544
107,28416
108,28864
109,29568
110,30720
111,30784
112,31680
113,32128
114,32512
115,32832
116,33024
117,33216
118,33280
119,33280
120,33344
121,33408
122,33472
123,33536
124,33600
125,33600
126,33600
127,33664
128,33792
129,33920
130,33984
131,34048
132,34112
133,34240
134,34304
135,34368
136,34432
137,34496
138,34624
139,34688
140,34944
141,34944
142,35136
143,35200
144,35264
145,35392
146,35520
147,35648
148,35840
149,35968
150,36160
151,36288
152,36416
153,36544
154,36608
155,36672
156,36672
157,36672
158,36672
159,36608
160,36480
161,36416
162,36224
163,35968
164,35712
165,35392
166,35008
167,34496
168,34048
169,33600
170,33088
171,32704
172,32320
173,32064
174,31808
175,31616
176,31488
177,31424
178,31360
179,31424
180,31488
181,31552
182,31680
183,31872
184,32000
185,32128
186,32256
187,32320
188,32384
189,32512
190,32576
191,32640
192,32704
193,32832
194,32896
195,32960
196,32960
197,32896
198,32896
199,32960
200,33088
201,33088
202,33152
203,33152
204,33216
205,33280
206,33344
207,33408
208,33536
209,33536
210,33536
211,33600
212,33664
213,33664
214,33664
215,33664
216,33664
217,33664
218,33664
219,33600
220,33600
221,33600
222,33600
223,33664
224,33664
225,33664
226,33664
227,33664
228,33664
229,33664
230,33664
231,33664
232,33664
233,33664
234,33664
235,33664
236,33728
237,33856
238,33856
239,33856
240,33792
241,33856
242,33856
243,33856
244,33856
245,33856
246,33792
247,33792
248,33792
249,33856
250,33856
251,33856
252,33856
253,33856
254,33984
255,34048
256,34112
257,34240
258,34368
259,34496
260,34624
261,34688
262,34752
263,34880
264,35008
265,35008
266,35008
267,34944
268,34944
269,34816
270,34688
271,34432
272,34176
273,33984
274,33728
275,33472
276,33280
277,33216
278,33216
279,33280
280,33344
281,33472
282,33536
283,33664
284,33600
285,33536
286,33536
287,33472
288,33472
289,33408
290,33536
291,33920
292,34816
293,36288
294,38400
295,40832
296,43584
297,45824
298,46336
299,44480
300,41280
301,37760
302,34432
303,31616
304,29696
305,28736
306,28544
307,28864
308,29568
309,30336
310,31040
311,31680
312,32192
313,32576
314,32896
315,33024
316,33152
317,33280
318,33344
319,33408
320,33472
321,33600
322,33664
323,33664
324,33728
325,33728
326,33792
327,33856
328,33920
329,33984
330,34048
331,34112
332,34240
333,34304
334,34368
335,34496
336,34560
337,34688
338,34816
339,34944
340,34944
341,34944
342,35072
343,35200
344,35328
345,35456
346,35648
347,35776
348,35904
349,36096
350,36288
351,36480
352,36544
353,36608
354,36672
355,36672
356,36672
357,36608
358,36608
359,36480
360,36352
361,36224
362,36032
363,35712
364,35392
365,35008
366,34560
367,34176
368,33728
369,33280
370,32896
371,32512
372,32256
373,32000
374,31808
375,31680
376,31552
377,31552
378,31552
379,31616
380,31680
381,31808
382,31872
383,32000
384,32128
385,32192
386,32384
387,32576
388,32768
389,32768
390,32832
391,32832
392,32896
393,32896
394,32960
395,33024
396,32960
397,32960
398,33024
399,33088
400,33088
401,33088
402,33088
403,33088
404,33152
405,33216
406,33280
407,33344
408,33472
409,33600
410,33664
411,33664
412,33664
413,33664
414,33728
415,33664
416,33664
