,ECG
0,32448
1,32512
2,32448
3,32512
4,32576
5,32640
6,32576
7,32576
8,32640
9,32704
10,32640
11,32640
12,32704
13,32768
14,32768
15,32768
16,32832
17,32832
18,32832
19,32768
20,32768
21,32832
22,32832
23,32768
24,32768
25,32768
26,32768
27,32704
28,32704
29,32768
30,32768
31,32704
32,32704
33,32704
34,32704
35,32704
36,32640
37,32640
38,32640
39,32640
40,32576
41,32576
42,32640
43,32640
44,32640
45,32640
46,32704
47,32640
48,32576
49,32576
50,32576
51,32576
52,32640
53,32640
54,32704
55,32704
56,32704
57,32704
58,32640
59,32640
60,32640
61,32640
62,32704
63,32704
64,32640
65,32640
66,32576
67,32640
68,32576
69,32576
70,32576
71,32576
72,32576
73,32576
74,32576
75,32704
76,32768
77,32704
78,32768
79,32896
80,33024
81,33088
82,33088
83,33024
84,32896
85,32768
86,32640
87,32512
88,32448
89,32384
90,32320
91,32384
92,32512
93,32512
94,32512
95,32512
96,32576
97,32576
98,32640
99,32704
100,32704
101,32704
102,32704
103,32704
104,32704
105,32704
106,32768
107,33088
108,33600
109,34304
110,35200
111,36352
112,37248
113,36992
114,35584
115,33728
116,32000
117,30720
118,29888
119,29568
120,29696
121,30272
122,30912
123,31488
124,32000
125,32512
126,32768
127,32960
128,33024
129,33152
130,33216
131,33216
132,33216
133,33216
134,33152
135,33024
136,32896
137,32832
138,32832
139,32768
140,32768
141,32832
142,32832
143,32768
144,32768
145,32768
146,32896
147,32896
148,32768
149,32768
150,32832
151,32832
152,32832
153,32896
154,32960
155,33024
156,32960
157,33024
158,33024
159,33088
160,33152
161,33216
162,33216
163,33280
164,33216
165,33216
166,33280
167,33344
168,33344
169,33344
170,33344
171,33344
172,33344
173,33216
174,33216
175,33216
176,33152
177,33088
178,33024
179,32960
180,32896
181,32768
182,32704
183,32640
184,32576
185,32512
186,32448
187,32384
188,32320
189,32256
190,32256
191,32256
192,32320
193,32320
194,32320
195,32384
196,32512
197,32512
198,32512
199,32576
200,32704
201,32704
202,32704
203,32640
204,32704
205,32704
206,32704
207,32704
208,32768
209,32768
210,32704
211,32704
212,32704
213,32768
214,32768
215,32768
216,32768
217,32768
218,32768
219,32704
220,32704
221,32704
222,32768
223,32704
224,32704
225,32704
226,32640
227,32640
228,32576
229,32640
230,32704
231,32704
232,32640
233,32640
234,32640
235,32576
236,32576
237,32640
238,32640
239,32640
240,32512
241,32512
242,32576
243,32512
244,32512
245,32576
246,32576
247,32640
248,32704
249,32704
250,32704
251,32704
252,32640
253,32576
254,32640
255,32640
256,32640
257,32576
258,32640
259,32704
260,32640
261,32576
262,32576
263,32640
264,32640
265,32576
266,32576
267,32576
268,32576
269,32576
270,32576
271,32576
272,32640
273,32704
274,32832
275,32960
276,33024
277,33024
278,32960
279,32896
280,32832
281,32704
282,32640
283,32512
284,32448
285,32448
286,32448
287,32448
288,32448
289,32448
290,32448
291,32512
292,32576
293,32576
294,32640
295,32640
296,32704
297,32704
298,32704
299,32704
300,32832
301,32896
302,32960
303,33216
304,33728
305,34624
306,35520
307,36672
308,37248
309,36544
310,34944
311,33152
312,31552
313,30464
314,29824
315,29632
