,ECG
0,34112
1,34112
2,34112
3,34176
4,34176
5,34240
6,34368
7,34496
8,34688
9,34816
10,34880
11,34944
12,34752
13,34560
14,34368
15,34112
16,33984
17,33792
18,33472
19,33088
20,32704
21,32448
22,32384
23,32448
24,32512
25,32704
26,32896
27,33024
28,33088
29,33280
30,33408
31,33344
32,33344
33,33472
34,33536
35,33344
36,33152
37,33088
38,33216
39,33536
40,34240
41,35520
42,37440
43,38848
44,38720
45,36096
46,34944
47,33408
48,32320
49,31808
50,31936
51,32320
52,32832
53,33344
54,33728
55,33792
56,33728
57,33600
58,33600
59,33728
60,33984
61,33984
62,34112
63,34240
64,34240
65,34048
66,34048
67,34176
68,34240
69,34240
70,34304
71,34432
72,34432
73,34304
74,34304
75,34432
76,34432
77,34560
78,34560
79,34624
80,34624
81,34688
82,34816
83,34880
84,34880
85,34688
86,34688
87,34752
88,34816
89,34880
90,34944
91,35072
92,35200
93,35264
94,35264
95,35200
96,35200
97,35136
98,35008
99,34944
100,34944
101,34944
102,34816
103,34688
104,34688
105,34752
106,34560
107,34368
108,34240
109,34048
110,33856
111,33728
112,33536
113,33344
114,33216
115,33088
116,32960
117,32896
118,32832
119,32768
120,32832
121,33024
122,33024
123,33024
124,33024
125,33152
126,33344
127,33472
128,33536
129,33536
130,33536
131,33472
132,33344
133,33344
134,33344
135,33408
136,33472
137,33600
138,33728
139,33792
140,33856
141,33920
142,34048
143,34048
144,33984
145,33984
146,34176
147,34304
148,34304
149,34240
150,34176
151,34112
152,34176
153,34176
154,34048
155,33984
156,33984
157,33984
158,34112
159,34240
160,34240
161,34304
162,34496
163,34624
164,34688
165,34752
166,34752
167,34816
168,34752
169,34688
170,34688
171,34560
172,34176
173,33792
174,33600
175,33408
176,33216
177,33024
178,32960
179,33024
180,33024
181,33088
182,33216
183,33408
184,33408
185,33280
186,33216
187,33280
188,33344
189,33408
190,33472
191,33408
192,33344
193,33280
194,33408
195,33920
196,35008
197,36544
198,38272
199,38848
200,37760
201,35776
202,33664
203,32256
204,31744
205,31744
206,32064
207,32576
208,33152
209,33664
210,33856
211,34048
212,34048
213,33920
214,33792
215,33664
216,33728
217,33856
218,33856
219,33792
220,33728
221,33856
222,33920
223,33856
224,33856
225,34048
226,34176
227,34176
228,34176
229,34240
230,34304
231,34304
232,34432
233,34624
234,34688
235,34560
236,34368
237,34304
238,34176
239,34112
240,34048
241,34176
242,34304
243,34304
244,34368
245,34496
246,34624
247,34624
248,34624
249,34688
250,34752
251,34752
252,34816
253,34816
254,34880
255,34944
256,34880
257,34816
258,34752
259,34752
260,34688
261,34624
262,34432
263,34176
264,33856
265,33536
266,33408
267,33408
268,33280
269,33024
270,32768
271,32576
272,32448
273,32320
274,32320
275,32448
276,32512
277,32576
278,32640
279,32768
280,32832
281,32896
282,33088
283,33216
284,33280
285,33344
286,33472
287,33664
288,33728
289,33664
290,33664
291,33664
292,33664
293,33600
294,33536
295,33600
296,33664
297,33664
298,33728
299,33856
300,33856
301,33984
302,33984
303,33920
304,33920
305,34048
306,34176
307,34176
308,34240
309,34304
310,34240
311,34176
312,34240
313,34304
314,34368
315,34368
316,34304
317,34304
318,34368
319,34368
320,34432
321,34496
322,34432
323,34368
324,34240
325,34048
326,33728
327,33344
328,33152
329,33088
330,33024
331,32896
332,32960
333,33088
334,33216
335,33280
336,33280
337,33152
338,33216
339,33408
340,33344
341,33216
342,33088
343,33024
344,32960
345,32960
346,33024
347,33152
348,33472
349,34048
350,35072
351,36736
352,38400
353,38656
354,37184
355,35200
356,33216
357,31936
358,31424
359,31488
360,31936
361,32640
362,33216
363,33600
364,33728
365,33728
366,33856
367,34176
368,34240
369,33984
370,33728
371,33600
372,33536
373,33472
374,33472
375,33600
376,33664
377,33728
378,33792
379,33920
380,34048
381,34048
382,34048
383,34048
384,34176
385,34304
386,34368
387,34368
388,34240
389,34240
390,34240
391,34304
392,34496
393,34496
394,34496
395,34432
396,34368
397,34304
398,34304
399,34368
400,34496
401,34624
402,34688
403,34752
404,34816
405,34880
406,34880
407,34816
408,34752
409,34688
410,34624
411,34560
412,34560
413,34624
414,34560
415,34432
416,34432
417,34368
418,33984
419,33600
420,33344
421,33280
422,33216
423,33152
424,33024
425,32832
426,32704
427,32640
428,32640
429,32640
430,32576
431,32512
432,32512
433,32640
434,32704
435,32768
436,32896
437,32960
438,33088
439,33088
440,33152
441,33216
442,33344
443,33472
444,33536
445,33536
446,33664
447,33728
448,33856
449,33856
450,33856
451,33856
452,33856
453,33856
454,33856
455,33984
456,33984
457,33984
458,33984
459,33856
460,33728
461,33664
462,33664
463,33728
464,33728
465,33600
466,33600
467,33600
468,33472
469,33472
470,33536
471,33728
472,33856
473,33792
474,33792
475,33920
476,34112
477,34112
478,34112
479,34240
480,34304
481,34432
482,34496
483,34624
484,34688
485,34496
486,34304
487,34112
488,33856
489,33472
490,33152
491,33024
492,32960
493,32832
494,32768
495,32768
496,32768
497,32832
498,32832
499,32960
500,33024
501,33088
502,33088
503,33152
504,33280
505,33408
506,33472
507,33472
508,33472
509,33344
510,33280
511,33472
512,34048
513,35136
514,36736
515,38336
516,38592
517,37184
518,35072
519,33088
520,31808
521,31296
522,31360
523,31872
524,32448
525,32960
526,33344
527,33536
528,33792
529,33920
530,33920
531,33856
532,33792
533,33728
534,33792
535,33792
536,33792
537,33792
538,33856
539,33920
540,33856
541,33856
542,33856
543,33856
544,33920
545,34048
546,34176
547,34176
548,33984
549,33984
550,34112
551,34240
552,34240
553,34304
554,34496
555,34560
556,34432
557,34304
558,34304
559,34368
560,34368
561,34432
562,34560
563,34688
564,34688
565,34752
566,34880
567,34880
568,34816
569,34816
570,34880
571,35008
572,34944
573,34816
574,34752
575,34688
576,34560
577,34368
578,34240
579,34176
580,34176
581,34048
582,33728
583,33472
584,33408
585,33216
586,32896
587,32704
588,32576
589,32448
590,32448
591,32512
592,32576
593,32640
594,32512
595,32512
596,32576
597,32704
598,32768
599,32896
600,33024
601,33088
602,33088
603,33216
604,33408
605,33472
606,33408
607,33408
608,33600
609,33664
610,33600
611,33536
612,33472
613,33536
614,33664
615,33792
616,33856
617,33856
618,33856
619,33856
620,33856
621,33856
622,33856
623,33856
624,33792
625,33792
626,33856
627,33920
628,34048
629,34112
630,33984
631,33920
632,33856
633,33920
634,34176
635,34432
636,34496
637,34432
638,34240
639,34176
640,34176
641,34176
642,34304
643,34304
644,34176
645,33920
646,33792
647,33472
648,32960
649,32832
650,32832
651,32896
652,32960
653,33024
654,33088
655,32960
656,32832
657,32960
658,33280
659,33408
660,33472
661,33408
662,33216
663,33088
664,32960
665,32832
666,32960
667,33216
668,33536
669,34368
670,34368
671,37504
672,38400
673,37760
674,36096
675,34176
676,32576
677,31680
678,31488
679,31808
680,32448
681,33024
682,33472
683,33856
684,34048
685,33984
686,33984
687,33920
688,33856
689,33728
690,33600
691,33600
692,33728
693,33792
694,33856
695,33920
696,33920
697,33984
698,34112
699,34176
700,34240
701,34368
702,34432
703,34496
704,34560
705,34560
706,34624
707,34688
708,34560
709,34304
710,34176
711,34240
712,34240
713,34304
714,34368
715,34304
716,34432
717,34496
718,34560
719,34688
720,34816
721,34752
722,34880
723,34944
724,35072
725,35072
726,35072
727,35008
728,35072
729,34944
730,34880
731,34688
732,34624
733,34496
734,34304
735,34240
736,34240
737,34048
738,33792
739,33472
740,33280
741,33216
742,33152
743,33088
744,33024
745,32960
746,32896
747,32832
748,32832
749,32832
750,32832
751,32896
752,33024
753,33216
754,33344
755,33472
756,33408
757,33280
758,33216
759,33152
760,33280
761,33472
762,33664
763,33664
764,33664
765,33792
766,34048
767,34048
768,33920
769,33920
770,33984
771,33984
772,33792
773,33792
774,33856
775,33856
776,33792
777,33728
778,33728
779,33856
780,33920
781,33984
782,34112
783,34112
784,34048
785,33984
786,34048
787,34112
788,33984
789,33856
790,33920
791,34176
792,34304
793,34368
794,34304
795,34240
796,34240
797,34240
798,34240
799,34304
800,34304
801,34240
802,34240
803,34176
804,34176
805,34112
806,33920
807,33664
808,33472
809,33280
810,33152
811,33024
812,33088
813,33216
814,33280
815,33216
816,33216
817,33216
818,33152
819,33152
820,33216
821,33216
822,33088
823,33152
824,33216
825,33216
826,33216
827,33216
828,33344
829,33600
830,33984
831,34944
832,36480
833,38336
834,39040
835,37952
836,35968
837,33984
838,32576
839,31936
840,31808
841,32064
842,32576
843,33152
844,33472
845,33728
846,33856
847,33856
848,33856
849,33856
850,33792
851,33856
852,33920
853,33920
854,33920
855,33920
856,33984
857,34048
858,34240
859,34304
860,34304
861,34304
862,34432
863,34496
864,34496
865,34432
866,34368
867,34240
868,34176
869,34240
870,34304
871,34368
872,34368
873,34368
874,34432
875,34432
876,34368
877,34432
878,34560
879,34560
880,34624
881,34624
882,34688
883,34816
884,34880
885,34944
886,35072
887,35136
888,35200
889,35072
890,34944
891,34880
892,34752
893,34688
894,34688
895,34688
896,34560
897,34496
898,34368
899,34112
900,33856
901,33600
902,33408
903,33344
904,33344
905,33152
906,32896
907,32768
908,32576
909,32512
910,32512
911,32704
912,32768
913,32768
914,32768
915,32832
916,32960
917,33152
918,33152
919,33152
920,33216
921,33280
922,33408
923,33600
924,33600
925,33600
926,33600
927,33728
928,33792
929,33792
930,33792
931,33856
932,34112
933,34176
934,34112
935,33920
936,33920
937,33984
938,33920
939,33728
940,33664
941,33792
942,33856
943,33920
944,33984
945,34112
946,34240
947,34304
948,34176
949,34048
950,33920
951,33856
952,33856
953,33856
954,33792
955,33728
956,33664
957,33728
958,33920
959,33920
960,33984
961,34112
962,34304
963,34368
964,34432
965,34560
966,34816
967,35008
968,35008
969,34944
970,34816
971,34560
972,34368
973,34112
974,33792
975,33600
976,33344
977,33088
978,33024
979,32960
980,32960
981,32896
982,32832
983,32896
984,32960
985,33088
986,33216
987,33408
988,33536
989,33664
990,33664
991,33600
992,33472
993,33472
