,ECG
0,34304
1,34304
2,34304
3,34304
4,34240
5,34176
6,34240
7,34304
8,34368
9,34368
10,34368
11,34432
12,34432
13,34496
14,34560
15,34624
16,34688
17,34752
18,34816
19,34944
20,35008
21,35072
22,35072
23,35072
24,35136
25,35072
26,34944
27,34880
28,34752
29,34688
30,34560
31,34432
32,34240
33,34048
34,33728
35,33600
36,33536
37,33536
38,33472
39,33408
40,33344
41,33216
42,33088
43,33088
44,33152
45,33152
46,33152
47,33152
48,33216
49,33216
50,33216
51,33216
52,33280
53,33344
54,33344
55,33408
56,33408
57,33408
58,33472
59,33408
60,33472
61,33536
62,33536
63,33536
64,33600
65,33664
66,33728
67,33728
68,33728
69,33792
70,33856
71,33920
72,33792
73,33728
74,33728
75,33728
76,33728
77,33792
78,33856
79,33856
80,33792
81,33792
82,33856
83,33792
84,33792
85,33728
86,33664
87,33664
88,33664
89,33728
90,33856
91,33920
92,33920
93,33920
94,33984
95,34048
96,34112
97,34176
98,34304
99,34496
100,34496
101,34560
102,34560
103,34560
104,34560
105,34432
106,34176
107,33856
108,33536
109,33344
110,33280
111,33280
112,33280
113,33280
114,33152
115,33152
116,33216
117,33408
118,33472
119,33600
120,33600
121,33536
122,33536
123,33600
124,33728
125,34048
126,34624
127,35520
128,36544
129,37184
130,36608
131,35072
132,33408
133,32000
134,31232
135,31104
136,31488
137,32000
138,32512
139,32960
140,33408
141,33792
142,34048
143,34304
144,34432
145,34496
146,34432
147,34368
148,34240
149,34176
150,34112
151,34048
152,34048
153,34112
154,34240
155,34304
156,34432
157,34496
158,34560
159,34624
160,34624
161,34688
162,34688
163,34624
164,34688
165,34688
166,34688
167,34688
168,34752
169,34880
170,34944
171,35008
172,35072
173,35136
174,35200
175,35200
176,35136
177,35072
178,34944
179,34880
180,34816
181,34816
182,34816
183,34752
184,34688
185,34560
186,34432
187,34240
188,34048
189,33856
190,33792
191,33600
192,33408
193,33280
194,33216
195,33152
196,33152
197,33088
198,33024
199,33088
200,33152
201,33152
202,33280
203,33344
204,33280
205,33280
206,33280
207,33344
208,33472
209,33472
210,33472
211,33472
212,33408
213,33408
214,33408
215,33536
216,33600
217,33664
218,33664
219,33664
220,33664
221,33728
222,33664
223,33664
224,33664
225,33600
226,33600
227,33664
228,33664
229,33664
230,33664
231,33664
232,33664
233,33600
234,33536
235,33600
236,33728
237,33920
238,33920
239,33856
240,33792
241,33792
242,33984
243,34240
244,34432
245,34560
246,34688
247,34624
248,34496
249,34368
250,34176
251,33984
252,33792
253,33664
254,33408
255,33216
256,33152
257,33088
258,33152
259,33216
260,33280
261,33344
262,33408
263,33408
264,33472
265,33472
266,33536
267,33536
268,33600
269,33920
270,34368
271,35008
272,36032
273,37056
274,37184
275,36032
276,34240
277,32512
278,31488
279,31040
280,31104
281,31616
282,32128
283,32576
284,33024
285,33408
286,33792
287,34112
288,34240
289,34368
290,34368
291,34432
292,34368
293,34240
294,34240
295,34240
296,34176
297,34240
298,34240
299,34240
300,34240
301,34304
302,34304
303,34368
304,34368
305,34368
306,34368
307,34496
308,34560
309,34624
310,34688
311,34816
312,34880
313,34880
314,34944
315,34944
316,35008
317,35008
318,35136
319,35200
320,35200
321,35200
322,35200
323,35200
324,35136
325,35072
326,34944
327,34816
328,34752
329,34560
330,34432
331,34240
332,34112
333,33984
334,33856
335,33728
336,33536
337,33408
338,33280
339,33216
340,33216
341,33216
342,33216
343,33152
344,33152
345,33216
346,33280
347,33280
348,33344
349,33344
350,33344
351,33344
352,33408
353,33408
354,33408
355,33408
356,33472
357,33536
358,33536
359,33472
360,33408
361,33472
362,33600
363,33664
364,33728
365,33728
366,33728
367,33664
368,33664
369,33664
370,33664
371,33664
372,33664
373,33600
374,33600
375,33536
376,33536
377,33728
378,33856
379,33920
380,33856
381,33920
382,34048
383,34176
384,34304
385,34432
386,34496
387,34496
388,34496
389,34432
390,34304
391,34176
392,33920
393,33600
394,33344
395,33216
396,33088
397,33088
398,33024
399,33088
400,33152
401,33280
402,33344
403,33408
404,33408
405,33344
406,33344
407,33408
408,33536
409,33664
410,33984
411,34560
412,35392
413,36352
414,36928
415,36224
416,34688
417,32960
418,31616
419,30976
420,30912
421,31360
422,32000
423,32576
424,33088
425,33600
426,33920
427,34176
428,34368
429,34432
430,34432
431,34432
432,34368
433,34368
434,34304
435,34240
436,34240
437,34240
438,34176
439,34176
440,34176
441,34240
442,34304
443,34304
444,34368
445,34432
446,34496
447,34432
448,34432
449,34496
450,34560
451,34560
452,34624
453,34688
454,34752
455,34816
456,34880
457,35008
458,35072
459,35136
460,35136
461,35072
462,35072
463,35008
464,35008
465,35008
466,34944
467,34816
468,34688
469,34624
470,34496
471,34304
472,34048
473,33856
474,33664
475,33536
476,33408
477,33344
478,33280
479,33216
480,33152
481,33216
482,33216
483,33280
484,33280
485,33280
486,33344
487,33408
488,33408
489,33344
490,33280
491,33344
492,33344
493,33408
494,33536
495,33600
496,33600
497,33536
498,33536
499,33472
500,33536
501,33536
502,33600
503,33664
504,33664
505,33664
506,33664
507,33664
508,33664
509,33664
510,33664
511,33664
512,33664
513,33728
514,33792
515,33920
516,33984
517,34048
518,34048
519,34176
520,34304
521,34432
522,34432
523,34432
524,34432
525,34304
526,34176
527,34048
528,33984
529,33792
530,33472
531,33344
532,33280
533,33152
534,33024
535,32960
536,33024
537,33152
538,33216
539,33280
540,33344
541,33472
542,33472
543,33472
544,33536
545,33600
546,33856
547,34240
548,34816
549,35648
550,36288
551,36096
552,34688
553,33024
554,31936
555,31232
556,31104
557,31488
558,32064
559,32640
560,33024
561,33408
562,33664
563,33920
564,34112
565,34304
566,34432
567,34432
568,34368
569,34368
570,34304
571,34304
572,34240
573,34240
574,34304
575,34368
576,34368
577,34368
578,34432
579,34432
580,34496
581,34560
582,34560
583,34496
584,34496
585,34496
586,34560
587,34560
588,34560
589,34624
590,34752
591,34880
592,35008
593,35008
594,35008
595,35008
596,35072
597,35072
598,35008
599,34944
600,34944
601,34944
602,34880
603,34880
604,34816
605,34688
606,34560
607,34304
608,34176
609,33984
610,33856
611,33728
612,33664
613,33600
614,33536
615,33472
616,33408
617,33280
618,33216
619,33216
620,33216
621,33216
622,33216
623,33280
624,33344
625,33344
626,33408
627,33408
628,33408
629,33344
630,33344
631,33408
632,33536
633,33664
634,33728
635,33728
636,33728
637,33664
638,33728
639,33728
640,33792
641,33792
642,33728
643,33600
644,33536
645,33472
646,33408
647,33472
648,33600
649,33728
650,33792
651,33856
652,33984
653,34048
654,34112
655,34176
656,34240
657,34304
658,34496
659,34496
660,34560
661,34560
662,34496
663,34368
664,34176
665,33984
666,33792
667,33536
668,33280
669,33152
670,33088
671,33088
672,33088
673,33088
674,33152
675,33152
676,33152
677,33152
678,33216
679,33216
680,33280
681,33280
682,33472
683,33600
684,33984
685,34624
686,35584
687,36672
688,36992
689,36096
690,34560
691,32960
692,31808
693,31232
694,31232
695,31616
696,32128
697,32576
698,33024
699,33408
700,33728
701,34048
702,34240
703,34368
704,34368
705,34240
706,34176
707,34176
708,34240
709,34240
710,34240
711,34240
712,34304
713,34240
714,34176
715,34176
716,34176
717,34176
718,34176
719,34304
720,34432
721,34496
722,34560
723,34624
724,34752
725,34816
726,34752
727,34752
728,34752
729,34688
730,34688
731,34624
732,34624
733,34688
734,34688
735,34688
736,34752
737,34816
738,34752
739,34752
740,34752
741,34624
742,34432
743,34240
744,34048
745,33920
746,33856
747,33792
748,33600
749,33472
750,33280
751,33152
752,33088
753,33088
754,33088
755,33088
756,33024
757,33216
758,33344
759,33344
760,33344
761,33408
762,33408
763,33408
764,33408
765,33344
766,33280
767,33216
768,33280
769,33344
770,33472
771,33536
772,33536
773,33472
774,33472
775,33408
776,33408
777,33408
778,33536
779,33664
780,33664
781,33664
782,33728
783,33792
784,33856
785,33984
786,34112
787,34048
788,33984
789,33984
790,34048
791,34240
792,34432
793,34496
794,34496
795,34432
796,34304
797,34240
798,34176
799,34112
800,33920
801,33664
802,33344
803,33216
804,33152
805,33088
806,33088
807,33216
808,33280
809,33344
810,33472
811,33536
812,33600
813,33600
814,33536
815,33536
816,33536
817,33664
818,33984
819,34560
820,35456
821,36544
822,37056
823,36416
824,34880
825,33280
826,31936
827,31168
828,31168
829,31552
830,32064
831,32576
832,33024
833,33408
834,33792
835,34112
836,34304
837,34368
838,34368
839,34368
840,34368
841,34368
842,34304
843,34240
844,34240
845,34240
846,34240
847,34304
848,34304
849,34304
850,34368
851,34368
852,34368
853,34368
854,34496
855,34496
856,34496
857,34496
858,34560
859,34560
860,34560
861,34624
862,34752
863,34816
864,34944
865,35008
866,34944
867,34880
868,34816
869,34752
870,34752
871,34752
872,34688
873,34560
874,34560
875,34560
876,34496
877,34368
878,34176
879,34048
880,33856
881,33664
882,33600
883,33472
884,33408
885,33280
886,33216
887,33216
888,33152
889,33152
890,33152
891,33216
892,33216
893,33216
894,33216
895,33152
896,33088
897,33088
898,33152
899,33216
900,33280
901,33280
902,33344
903,33408
904,33472
905,33536
906,33600
907,33728
908,33728
909,33728
910,33792
911,33792
912,33792
913,33728
914,33664
915,33600
916,33600
917,33728
918,33856
919,33984
920,33984
921,33984
922,34048
923,34112
924,34240
925,34368
926,34432
927,34432
928,34432
929,34368
930,34240
931,34176
932,34048
933,33920
934,33664
935,33408
936,33280
937,33216
938,33216
939,33216
940,33280
941,33344
942,33344
943,33344
944,33344
945,33344
946,33344
947,33344
948,33408
949,33472
950,33728
951,34112
952,35200
953,35904
954,36800
955,36992
956,35904
957,34304
958,32768
959,31680
960,31360
961,31616
962,32128
963,32576
964,33024
965,33536
966,33792
967,34048
968,34112
969,34240
970,34368
971,34368
972,34304
973,34304
974,34368
975,34368
976,34368
977,34368
978,34304
979,34240
980,34240
981,34240
982,34304
983,34240
984,34240
985,34240
986,34304
987,34368
988,34432
989,34496
990,34496
991,34560
992,34560
993,34560
994,34560
995,34688
996,34752
997,34880
998,34880
999,34880
1000,34880
1001,34880
1002,34880
1003,34880
1004,34816
1005,34752
1006,34688
1007,34688
1008,34624
1009,34496
1010,34368
1011,34176
1012,33984
1013,33856
1014,33664
1015,33472
1016,33344
1017,33280
1018,33216
1019,33216
1020,33280
1021,33216
1022,33216
1023,33216
1024,33280
1025,33280
1026,33280
1027,33280
1028,33280
1029,33280
1030,33344
1031,33408
1032,33472
1033,33472
1034,33472
1035,33472
1036,33600
1037,33600
1038,33664
1039,33664
1040,33728
1041,33728
1042,33728
1043,33664
1044,33664
1045,33728
1046,33792
1047,33792
1048,33856
1049,33920
1050,33984
1051,34048
1052,34112
1053,34304
1054,34496
1055,34624
1056,34688
1057,34688
1058,34624
1059,34560
1060,34432
1061,34240
1062,34048
1063,33728
1064,33472
1065,33280
1066,33152
1067,33152
1068,33152
1069,33152
1070,33216
1071,33216
1072,33280
1073,33280
1074,33344
1075,33408
1076,33408
1077,33472
1078,33536
1079,33664
1080,33920
1081,34368
1082,35072
1083,36032
1084,36416
1085,35584
1086,33984
1087,32448
1088,31488
1089,31040
1090,31232
1091,31808
1092,32384
1093,32832
1094,33280
1095,33728
1096,33984
1097,34240
1098,34368
1099,34432
1100,34432
1101,34368
1102,34304
1103,34240
1104,34240
1105,34176
1106,34240
1107,34304
1108,34304
1109,34240
1110,34304
1111,34304
1112,34368
1113,34368
1114,34432
1115,34432
1116,34432
1117,34496
1118,34432
1119,34496
1120,34560
1121,34624
1122,34688
1123,34752
1124,34816
1125,34752
1126,34752
1127,34752
1128,34752
1129,34816
1130,34816
1131,34880
1132,34880
1133,34816
1134,34752
1135,34688
1136,34624
1137,34560
1138,34496
1139,34432
1140,34304
1141,34112
1142,33984
1143,33792
1144,33664
1145,33536
1146,33408
1147,33280
1148,33216
1149,33152
1150,33152
1151,33152
1152,33152
1153,33152
1154,33152
1155,33152
1156,33152
1157,33216
1158,33280
1159,33344
1160,33344
1161,33408
1162,33472
1163,33472
1164,33472
1165,33536
1166,33536
1167,33600
1168,33600
1169,33600
1170,33600
1171,33664
1172,33664
1173,33728
1174,33792
1175,33856
1176,33856
1177,33920
1178,33984
1179,33984
1180,34048
1181,34048
1182,34176
1183,34304
1184,34432
1185,34496
1186,34560
1187,34560
1188,34496
1189,34368
1190,34240
1191,33920
1192,33664
1193,33408
1194,33280
1195,33280
1196,33216
1197,33216
1198,33216
1199,33280
1200,33344
1201,33344
1202,33408
1203,33344
1204,33344
1205,33344
1206,33344
1207,33408
1208,33536
1209,33792
1210,34240
1211,35136
1212,36160
1213,36544
1214,35648
1215,34048
1216,32576
1217,31552
1218,31104
1219,31232
1220,31808
1221,32448
1222,32960
1223,33408
1224,33728
1225,34048
1226,34240
1227,34368
1228,34496
1229,34560
1230,34496
1231,34432
1232,34368
1233,34304
1234,34240
1235,34240
1236,34304
1237,34304
1238,34368
1239,34304
1240,34304
1241,34368
1242,34368
1243,34368
1244,34432
1245,34496
1246,34496
1247,34496
1248,34560
1249,34624
1250,34688
1251,34688
1252,34688
1253,34752
1254,34816
1255,34880
1256,34944
1257,34880
1258,34880
1259,34816
1260,34816
1261,34752
1262,34752
1263,34688
1264,34624
1265,34624
1266,34560
1267,34496
1268,34368
1269,34176
1270,34048
1271,33920
1272,33728
1273,33600
1274,33472
1275,33344
1276,33280
1277,33216
1278,33152
1279,33152
1280,33152
1281,33152
1282,33152
1283,33152
1284,33216
1285,33216
1286,33216
1287,33216
1288,33280
1289,33344
1290,33344
1291,33408
1292,33536
1293,33600
1294,33600
1295,33664
1296,33728
1297,33664
1298,33600
1299,33664
1300,33728
1301,33792
1302,33856
1303,33792
1304,33792
1305,33792
1306,33856
1307,33920
1308,33984
1309,33984
1310,33984
1311,33984
1312,34176
1313,34368
1314,34432
1315,34496
1316,34496
1317,34496
1318,34496
1319,34496
1320,34368
1321,34176
1322,33856
1323,33600
1324,33344
1325,33152
1326,33088
1327,33024
1328,33088
