,ECG
0,35136
1,34752
2,33984
3,33344
4,32960
5,32896
6,33024
7,33152
8,33344
9,33472
10,33600
11,33472
12,33280
13,33152
14,33408
15,34432
16,36096
17,38208
18,40256
19,41536
20,41280
21,38912
22,35968
23,33536
24,32256
25,31680
26,31552
27,31744
28,32064
29,32384
30,32640
31,33088
32,33408
33,33664
34,33856
35,33856
36,33856
37,33856
38,33856
39,33984
40,34368
41,34560
42,34432
43,34304
44,34176
45,34368
46,34560
47,34240
48,33920
49,33920
50,34176
51,34304
52,33728
53,33152
54,32960
55,33024
56,33344
57,33856
58,34112
59,34304
60,34560
61,34752
62,34752
63,34816
64,34816
65,35008
66,35328
67,35520
68,35584
69,35392
70,35264
71,35456
72,35520
73,35520
74,35648
75,35712
76,35584
77,35648
78,35776
79,35712
80,35648
81,35648
82,35712
83,35584
84,35392
85,35136
86,34944
87,34560
88,34176
89,33792
90,33664
91,33536
92,33280
93,32960
94,32832
95,33088
96,33280
97,33344
98,33024
99,32576
100,32320
101,32384
102,32704
103,33024
104,32960
105,32832
106,32832
107,32960
108,33152
109,33216
110,33216
111,33216
112,33408
113,33472
114,33344
115,33408
116,33408
117,33344
118,33856
119,34368
120,34240
121,33856
122,33472
123,33088
124,32960
125,32960
126,32896
127,33024
128,33280
129,33472
130,33600
131,33728
132,33856
133,33792
134,33856
135,33920
136,34048
137,34112
138,34112
139,33920
140,33856
141,33856
142,33792
143,33728
144,33984
145,34368
146,34688
147,34432
148,33664
149,33280
150,33216
151,33216
152,33216
153,33408
154,33536
155,33600
156,33728
157,33856
158,34048
159,34240
160,34304
161,34432
162,34752
163,34816
164,34560
165,34240
166,33728
167,33152
168,33216
169,33920
170,33984
171,33472
172,33088
173,33088
174,33280
175,33472
176,33536
177,33792
178,34048
179,34112
180,34304
181,34624
182,34880
183,34688
184,34368
185,34432
186,34752
187,34944
188,34560
189,34112
190,33856
191,33728
192,33856
193,33856
194,33728
195,33600
196,33536
197,33920
198,34112
199,33920
200,33728
201,33600
202,33600
203,33664
204,33536
205,33600
206,33792
207,33792
208,33856
209,34240
210,34880
211,34752
212,33856
213,33024
214,32704
215,33280
216,34944
217,37248
218,39552
219,41152
220,41216
221,39040
222,36032
223,33536
224,32128
225,31488
226,31488
227,31936
228,32384
229,32768
230,33088
231,33344
232,33472
233,33600
234,33728
235,34048
236,34560
237,34432
238,33664
239,33216
240,33280
241,33408
242,33472
243,33600
244,33664
245,33728
246,33792
247,33920
248,34112
249,34112
250,33984
251,33984
252,34176
253,34368
254,34432
255,34368
256,34432
257,34688
258,34688
259,34496
260,34304
261,34368
262,34304
263,34112
264,34112
265,34496
266,34816
267,34880
268,34880
269,34944
270,35136
271,35200
272,35328
273,35712
274,36096
275,35968
276,35904
277,36032
278,35968
279,35776
280,35648
281,35648
282,35776
283,35904
284,35904
285,35520
286,35072
287,34688
288,34240
289,33728
290,33152
291,32768
292,32448
293,32320
294,32512
295,33024
296,32896
297,32448
298,32192
299,32192
300,32256
301,32384
302,32640
303,32896
304,33024
305,33024
306,33280
307,33728
308,34112
309,33984
310,33280
311,32832
312,32640
313,32640
314,32768
315,33024
316,33152
317,33344
318,33600
319,33728
320,33728
321,33472
322,33280
323,33344
324,33536
325,33536
326,33472
327,33536
328,33856
329,33984
330,33984
331,33728
332,33600
333,33664
334,34048
335,34176
336,33856
337,33408
338,33216
339,33216
340,33408
341,33408
342,33408
343,33664
344,33856
345,33856
346,33984
347,34176
348,34112
349,33792
350,33536
351,33472
352,33664
353,33792
354,33664
355,33664
356,33920
357,34176
358,34048
359,33856
360,33728
361,33920
362,34112
363,34048
364,33792
365,33728
366,33728
367,33792
368,34112
369,34304
370,34304
371,34240
372,34240
373,34176
374,34176
375,34112
376,34112
377,34304
378,34496
379,34368
380,34048
381,34112
382,34240
383,34048
384,33600
385,33408
386,33344
387,33216
388,33216
389,33408
390,33536
391,33600
392,33600
393,33600
394,33728
395,33792
396,33728
397,33856
398,34112
399,34112
400,33856
401,33344
402,32896
403,32960
404,33728
405,35264
406,37440
407,39744
408,41088
409,41152
410,39168
411,36224
412,33472
413,31936
414,31232
415,31232
416,31616
417,32192
418,32768
419,33024
420,33024
421,32960
422,33088
423,33344
424,33536
425,33600
426,33600
427,33664
428,33792
429,33792
430,33984
431,34176
432,34304
433,34112
434,34048
435,34112
436,34048
437,33920
438,33792
439,33856
440,34432
441,34624
442,34176
443,33728
444,33600
445,33792
446,33984
447,33984
448,34048
449,34176
450,34304
451,34432
452,34624
453,34752
454,34816
455,34816
456,35008
457,35200
458,35264
459,35328
460,35456
461,35648
462,35712
463,35712
464,35840
465,35904
466,35904
467,36032
468,36096
469,36096
470,35904
471,35520
472,35328
473,35136
474,34944
475,34688
476,34304
477,33920
478,33600
479,33216
480,32960
481,32896
482,32896
483,32896
484,32704
485,32640
486,32576
487,32576
488,32576
489,32640
490,33024
491,33344
492,33344
493,33152
494,32960
495,32832
496,32640
497,32768
498,33152
499,33536
500,33728
501,33472
502,33088
503,32896
504,32896
505,32896
506,33024
507,33152
508,33280
509,33344
510,33472
511,33728
512,33856
513,33664
514,33472
515,33600
516,33792
517,33984
518,33856
519,33664
520,33536
521,33408
522,33408
523,33472
524,33600
525,33664
526,33792
527,33920
528,34048
529,33984
530,33856
531,33728
532,33792
533,33792
534,33728
535,33856
536,33920
537,33856
538,33920
539,33984
540,33984
541,33920
542,33664
543,33536
544,33536
545,33664
546,33728
547,33984
548,34176
549,34240
550,34240
551,34432
552,34304
553,33920
554,33536
555,33536
556,34048
557,34368
558,34176
559,33792
560,33792
561,34176
562,34432
563,34368
564,34368
565,34560
566,34624
567,34304
568,34048
569,33856
570,33728
571,33664
572,33664
573,33664
574,33664
575,33664
576,33728
577,33984
578,33920
579,33600
580,33472
581,33472
582,33472
583,33408
584,33472
585,33600
586,33664
587,33472
588,33088
589,32960
590,33216
591,34176
592,35904
593,37824
594,40000
595,41280
596,41152
597,39104
598,36160
599,33408
600,31424
601,30656
602,30784
603,31360
604,32000
605,32640
606,33152
607,33472
608,33536
609,33664
610,34048
611,34560
612,34496
613,34112
614,33792
615,33600
616,33408
617,33408
618,33600
619,33728
620,33856
621,33984
622,33920
623,33984
624,34112
625,34176
626,34368
627,34432
628,34304
629,34048
630,33792
631,33856
632,34176
633,34368
634,34432
635,34560
636,34624
637,34624
638,34688
639,34816
640,34944
641,34880
642,34880
643,35008
644,35200
645,35328
646,35264
647,35328
648,35456
649,35584
650,35648
651,35712
652,35904
653,36224
654,36416
655,36480
656,36544
657,36288
658,35776
659,35392
660,35200
661,35008
662,34624
663,34176
664,33728
665,33472
666,33152
667,32832
668,32704
669,32768
670,32896
671,32832
672,32640
673,32640
674,32832
675,32768
676,32768
677,32832
678,32896
679,32960
680,33216
681,33344
682,33216
683,32896
684,32768
685,32960
686,33344
687,33536
688,33280
689,33024
690,33024
691,33088
692,33088
693,33152
694,33344
695,33472
696,33408
697,33536
698,33792
699,33984
700,33984
701,33728
702,33472
703,33472
704,33600
705,33728
706,33664
707,33664
708,33472
709,33280
710,33344
711,33472
712,33536
713,33600
714,33728
715,33984
716,33984
717,33920
718,33856
719,33792
720,33792
721,33792
722,33920
723,34048
724,34048
725,33856
726,33600
727,33536
728,33600
729,33600
730,33664
731,33920
732,34176
733,34240
734,34176
735,34176
736,34176
737,34048
738,33984
739,34112
740,34560
741,34752
742,34432
743,34176
744,34048
745,34048
746,33856
747,33664
748,33536
749,33536
750,33536
751,33408
752,33472
753,33728
754,33920
755,33792
756,33664
757,33664
758,33536
759,33472
760,33536
761,33728
762,33792
763,33728
764,33728
765,33728
766,33536
767,33408
768,33408
769,33984
770,35136
771,36736
772,38848
773,40576
774,41280
775,40000
776,37504
777,34816
778,32640
779,31360
780,30912
781,31168
782,31680
783,32192
784,32640
785,33024
786,33408
787,33664
788,33728
789,33792
790,34048
791,34176
792,34176
793,34048
794,33984
795,33984
796,33984
797,34048
798,34048
799,34240
800,34176
801,34112
802,34112
803,34176
804,34176
805,34176
806,34240
807,34240
808,34368
809,34624
810,34816
811,34816
812,34560
813,34432
814,34368
815,34240
816,34176
817,34240
818,34560
819,34752
820,34816
821,34880
822,35008
823,35136
824,35264
825,35328
826,35520
827,35648
828,35840
829,35904
830,35904
831,35968
832,36032
833,36096
834,36032
835,36032
836,35840
837,35648
838,35456
839,35136
840,34816
841,34368
842,33856
843,33472
844,33280
845,33280
846,33152
847,32960
848,32768
849,32640
850,32576
851,32640
852,32832
