,ECG
0,44992
1,46464
2,46336
3,44160
4,40896
5,37376
6,34368
7,32256
8,31104
9,31040
10,31232
11,31616
12,32128
13,32832
14,33472
15,33920
16,34368
17,34816
18,35136
19,35328
20,35328
21,35328
22,35136
23,34880
24,34624
25,34304
26,34048
27,33728
28,33536
29,33536
30,33728
31,33984
32,34112
33,34368
34,34688
35,34880
36,34944
37,35008
38,35136
39,35392
40,35520
41,35648
42,35776
43,35776
44,35712
45,35456
46,35264
47,35008
48,34816
49,34752
50,34816
51,34880
52,34880
53,34752
54,34688
55,34752
56,34816
57,34816
58,34944
59,35136
60,35392
61,35520
62,35584
63,35712
64,35648
65,35648
66,35648
67,35648
68,35648
69,35520
70,35392
71,35264
72,35200
73,35136
74,35008
75,34944
76,34944
77,34880
78,34880
79,35008
80,35136
81,35264
82,35264
83,35392
84,35584
85,35840
86,35712
87,35456
88,35520
89,35520
90,35520
91,35584
92,35648
93,35712
94,35584
95,35456
96,35456
97,35456
98,35392
99,35328
100,35264
101,35136
102,35008
103,34624
104,34240
105,33984
106,33792
107,33664
108,33664
109,33664
110,33664
111,33600
112,33472
113,33472
114,33472
115,33472
116,33472
117,33472
118,33536
119,33536
120,33536
121,33536
122,33664
123,33728
124,33728
125,33728
126,33856
127,33984
128,34048
129,34112
130,34112
131,34176
132,34176
133,34240
134,34240
135,34240
136,34240
137,34240
138,34240
139,34304
140,34240
141,33984
142,33792
143,33664
144,33408
145,33216
146,33088
147,32832
148,32576
149,32448
150,32512
151,32576
152,32576
153,32576
154,32704
155,32832
156,32960
157,32960
158,33024
159,33088
160,33152
161,33216
162,33408
163,33600
164,33856
165,34368
166,35072
167,36352
168,38592
169,41088
170,43264
171,44608
172,44416
173,42176
174,38528
175,34368
176,30656
177,28160
178,26752
179,26368
180,26752
181,27520
182,28480
183,29440
184,30400
185,31104
186,31680
187,32192
188,32640
189,32960
190,33088
191,33024
192,33024
193,33024
194,33024
195,33088
196,33216
197,33344
198,33408
199,33472
200,33600
201,33664
202,33536
203,33344
204,33216
205,33280
206,33280
207,33216
208,33088
209,33024
210,32896
211,32832
212,32832
213,32960
214,33088
215,33088
216,33024
217,33024
218,33152
219,33280
220,33472
221,33600
222,33792
223,33920
224,33920
225,33984
226,33920
227,33856
228,33728
229,33792
230,33984
231,34176
232,34112
233,34048
234,34112
235,34112
236,33920
237,33728
238,33728
239,33728
240,33536
241,33344
242,33344
243,33344
244,33216
245,33088
246,33152
247,33280
248,33216
249,33152
250,33152
251,33216
252,33280
253,33344
254,33792
255,33984
256,34112
257,34048
258,33984
259,34048
260,34176
261,34176
262,34112
263,34048
264,33984
265,33920
266,33920
267,33920
268,33984
269,33984
270,33920
271,33920
272,33984
273,34048
274,34048
275,34112
276,34240
277,34304
278,34304
279,34304
280,34304
281,34304
282,34240
283,34176
284,34176
285,34112
286,33984
287,33920
288,33920
289,33920
290,33856
291,33728
292,33664
293,33600
294,33600
295,33600
296,33664
297,33792
298,33856
299,33792
300,33856
301,33920
302,34048
303,34176
304,34432
305,34624
306,34816
307,34880
308,34944
309,35008
310,35008
311,34944
312,34880
313,34816
314,34816
315,34752
316,34688
317,34496
318,34304
319,33984
320,33664
321,33408
322,33344
323,33280
324,33152
325,32960
326,32896
327,32896
328,32960
329,33088
330,33152
331,33088
332,33024
333,32896
334,32896
335,33024
336,33024
337,32960
338,32960
339,33024
340,33088
341,33344
342,33792
343,34624
344,35840
345,37632
346,40128
347,42880
348,44736
349,45312
350,44224
351,41536
352,37952
353,34112
354,31104
355,29184
356,28224
357,28032
358,28480
359,29568
360,30208
361,30976
362,31808
363,32512
364,33152
365,33664
366,34048
367,34304
368,34432
369,34496
370,34432
371,34304
372,34240
373,34112
374,33920
375,33792
376,33856
377,33856
378,33856
379,33920
380,33984
381,34112
382,34112
383,34048
384,34048
385,34048
386,33984
387,34048
388,34176
389,34368
390,34560
391,34688
392,34816
393,34816
394,34688
395,34496
396,34368
397,34240
398,34304
399,34368
400,34432
401,34496
402,34432
403,34304
404,34240
405,34240
406,34368
407,34432
408,34496
409,34496
410,34432
411,34304
412,34304
413,34304
414,34240
415,34176
416,34112
417,34112
418,33984
419,33664
420,33536
421,33472
422,33472
423,33472
424,33536
425,33600
426,33536
427,33536
428,33536
429,33600
430,33728
431,33856
432,33920
433,33984
434,34112
435,34112
436,33984
437,33920
438,33920
439,33856
440,33856
441,33920
442,34112
443,34240
444,34240
445,34112
446,34048
447,34112
448,33984
449,33792
450,33728
451,33856
452,33920
453,33856
454,33792
455,33728
456,33728
457,33600
458,33600
459,33600
460,33536
461,33408
462,33344
463,33280
464,33280
465,33280
466,33216
467,33152
468,33152
469,32960
470,32960
471,33088
472,33280
473,33408
474,33536
475,33664
476,33856
477,33984
478,34176
479,34560
480,34752
481,34880
482,34880
483,34816
484,34880
485,34816
486,34688
487,34688
488,34752
489,34816
490,34752
491,34432
492,34048
493,33664
494,33280
495,33024
496,32768
497,32512
498,32064
499,31616
500,31040
501,31040
502,30976
503,31040
504,31232
505,31552
506,31872
507,32064
508,32000
509,31936
510,31744
511,31872
512,31936
513,31872
514,31616
515,31680
516,31680
517,33024
518,34432
519,36544
520,39040
521,41536
522,43200
523,43008
524,42880
525,38336
526,34432
527,30848
528,28544
529,27520
530,27328
531,27712
532,28672
533,29760
534,30912
535,32064
536,32832
