,ECG
0,33664
1,33792
2,33792
3,33856
4,33664
5,33344
6,33408
7,34048
8,34944
9,36160
10,37888
11,40256
12,43008
13,45056
14,45888
15,44608
16,41536
17,37504
18,33728
19,30656
20,28736
21,27904
22,27840
23,28352
24,28352
25,29632
26,30528
27,31424
28,32192
29,32640
30,33088
31,33536
32,33920
33,34048
34,34176
35,34304
36,34304
37,34048
38,33856
39,33792
40,33664
41,33408
42,33408
43,33600
44,33664
45,33600
46,33408
47,33472
48,33600
49,33472
50,33280
51,33472
52,33728
53,33536
54,33344
55,33280
56,33344
57,33408
58,33536
59,33728
60,33792
61,33728
62,33664
63,33536
64,33472
65,33536
66,33536
67,33472
68,33600
69,33536
70,33856
71,33856
72,34048
73,34432
74,34624
75,34688
76,34496
77,34432
78,34496
79,34432
80,34240
81,34112
82,33920
83,33664
84,33472
85,33600
86,33856
87,33920
88,33792
89,33728
90,33728
91,33792
92,33728
93,33792
94,33920
95,33984
96,34112
97,34240
98,34176
99,33984
100,34048
101,34432
102,34752
103,34496
104,34240
105,34240
106,34304
107,34048
108,33856
109,33856
110,33984
111,34112
112,34304
113,34176
114,34112
115,34176
116,34112
117,34048
118,34048
119,34048
120,33984
121,34176
122,34240
123,34112
124,33856
125,33920
126,34112
127,34176
128,34112
129,33792
130,33536
131,33536
132,33664
133,33856
134,34048
135,34304
136,34624
137,34816
138,35008
139,35136
140,35200
141,35072
142,34816
143,34688
144,34752
145,34880
146,34880
147,34944
148,34944
149,34752
150,34496
151,34432
152,34240
153,33984
154,33792
155,33600
156,33472
157,33472
158,33408
159,33344
160,33536
161,33664
162,33792
163,34048
164,34368
165,34560
166,34496
167,33920
168,33664
169,33920
170,33856
171,33792
172,34048
173,34624
174,35264
175,36224
176,38016
177,40384
178,42880
179,44800
180,45696
181,45120
182,42624
183,38912
184,35328
185,32256
186,30016
187,28800
188,28544
189,29184
190,29824
191,30208
192,30848
193,31552
194,32192
195,33024
196,33600
197,34176
198,34816
199,35072
200,34944
201,34816
202,34624
203,34496
204,34112
205,34176
206,34240
207,34240
208,34304
209,33984
210,33472
211,33408
212,33536
213,33664
214,33920
215,33856
216,33728
217,33664
218,33728
219,34048
220,34304
221,33856
222,33344
223,33472
224,33472
225,33280
226,33408
227,33600
228,33600
229,33664
230,33728
231,33728
232,33792
233,33600
234,33536
235,33728
236,34176
237,34240
238,34048
239,33920
240,34112
241,34368
242,34304
243,34432
244,34560
245,34624
246,34816
247,34752
248,34560
249,34240
250,33920
251,33792
252,33792
253,33728
254,33728
255,33664
256,33792
257,33856
258,33920
259,33664
260,33280
261,33344
262,33728
263,33856
264,34368
265,34944
266,35136
267,35392
268,35392
269,35072
270,35072
271,35328
272,35904
273,36608
274,36800
275,36800
276,36544
277,36288
278,36160
279,35904
280,35840
281,35520
282,35136
283,34816
284,34368
285,34048
286,33536
287,33152
288,32768
289,32832
290,33088
291,32896
292,32256
293,31872
294,31872
295,32128
296,32256
297,32384
298,32576
299,32256
300,31872
301,31680
302,31680
303,31808
304,32064
305,32576
306,33216
307,33408
308,33344
309,33216
310,33024
311,33216
312,33472
313,33728
314,34048
315,34112
316,34048
317,33984
318,34112
319,34368
320,34496
321,34624
322,34624
323,34560
324,34304
325,33984
326,33536
327,33216
328,32896
329,32704
330,32704
331,32192
332,31552
333,30848
