,ECG
0,95
1,76
2,60
3,57
4,71
5,85
6,84
7,64
8,37
9,30
10,32
11,39
12,60
13,72
14,79
15,81
16,68
17,56
18,57
19,56
20,56
21,65
22,75
23,84
24,93
25,95
26,95
27,96
28,91
29,89
30,90
31,97
32,111
33,127
34,142
35,157
36,169
37,177
38,166
39,155
40,143
41,129
42,124
43,133
44,159
45,199
46,238
47,266
48,273
49,254
50,219
51,184
52,152
53,132
54,125
55,122
56,116
57,105
58,93
59,80
60,75
61,75
62,98
63,139
64,180
65,220
66,242
67,233
68,213
69,184
70,157
71,149
72,155
73,172
74,180
75,181
76,182
77,176
78,175
79,180
80,172
81,150
82,116
83,72
84,31
85,-8
86,-38
87,-37
88,-23
89,-4
90,26
91,50
92,64
93,71
94,61
95,40
96,21
97,0
98,-16
99,-21
100,-20
101,-21
102,-15
103,-7
104,-1
105,1
106,2
107,1
108,-6
109,-13
110,-12
111,-10
112,-17
113,-24
114,-31
115,-50
116,-66
117,-69
118,-65
119,-53
120,-29
121,-3
122,19
123,29
124,25
125,21
126,22
127,20
128,22
129,20
130,1
131,-18
132,-43
133,-71
134,-82
135,-81
136,-75
137,-54
138,-49
139,-41
140,-38
141,-35
142,-14
143,7
144,22
145,40
146,48
147,46
148,36
149,17
150,11
151,12
152,12
153,16
154,24
155,29
156,35
157,40
158,37
159,32
160,27
161,23
162,31
163,32
164,29
165,33
166,36
167,42
168,48
169,40
170,4
171,-3
172,0
173,12
174,23
175,30
176,31
177,21
178,7
179,-4
180,-12
181,-6
182,17
183,47
184,70
185,75
186,61
187,39
188,17
189,2
190,4
191,18
192,37
193,61
194,80
195,90
196,89
197,78
198,57
199,39
200,18
201,-15
202,-36
203,-36
204,-36
205,21
206,59
207,80
208,83
209,64
210,22
211,-20
212,-51
213,-60
214,-34
215,20
216,76
217,127
218,166
219,174
220,165
221,148
222,125
223,103
224,89
225,83
226,79
227,73
228,66
229,69
230,78
231,82
232,85
233,91
234,89
235,73
236,55
237,30
238,24
239,24
240,29
241,40
242,46
243,41
244,37
245,38
246,29
247,19
248,10
249,-6
250,-17
251,-17
252,-12
253,4
254,22
255,27
256,26
257,24
258,16
259,3
260,-11
261,-18
262,0
263,41
264,85
265,121
266,142
267,141
268,126
269,108
270,115
271,157
272,212
273,279
274,338
275,368
276,375
277,375
278,381
279,393
280,402
281,399
282,380
283,330
284,248
285,160
286,73
287,-4
288,-69
289,-117
290,-147
291,-160
292,-158
293,-145
294,-128
295,-103
296,-72
297,-40
298,-18
299,0
300,18
301,39
302,67
303,120
304,129
305,127
306,113
307,90
308,67
309,46
310,30
311,25
312,34
313,54
314,73
315,83
316,91
317,104
318,115
319,116
320,112
321,104
322,91
323,79
324,77
325,78
326,71
327,63
328,64
329,67
330,66
331,66
