,ECG
0,33856
1,33856
2,33920
3,33984
4,34048
5,34112
6,34176
7,34240
8,34304
9,34368
10,34368
11,34432
12,34432
13,34432
14,34368
15,34368
16,34368
17,34496
18,34624
19,34688
20,34752
21,34816
22,34880
23,34816
24,34752
25,34752
26,34752
27,34752
28,34688
29,34688
30,34816
31,34880
32,34880
33,34880
34,34752
35,34560
36,34304
37,33984
38,33664
39,33344
40,33088
41,32896
42,32768
43,32704
44,32640
45,32704
46,32768
47,32832
48,32832
49,32896
50,32960
51,32960
52,32832
53,32704
54,32832
55,33408
56,34496
57,36224
58,38592
59,41216
60,43328
61,43904
62,42496
63,39872
64,36800
65,33920
66,31808
67,30592
68,29952
69,29824
70,29888
71,30208
72,30592
73,30976
74,31360
75,31680
76,32000
77,32128
78,32320
79,32512
80,32640
81,32704
82,32704
83,32640
84,32576
85,32576
86,32704
87,32832
88,32896
89,32832
90,32704
91,32704
92,32768
93,33024
94,33280
95,33408
96,33408
97,33472
98,33536
99,33472
100,33216
101,32896
102,32576
103,32384
104,32448
105,32576
106,32704
107,32832
108,32896
109,32832
110,32768
111,32640
112,32640
113,32640
114,32704
115,32832
116,32896
117,32896
118,32832
119,32704
120,32704
121,32768
122,32896
123,32896
124,32960
125,32896
126,32832
127,32768
128,32768
129,32832
130,32832
131,32832
132,32832
133,32832
134,32832
135,32896
136,32896
137,33024
138,33088
139,33088
140,33152
141,33280
142,33408
143,33472
144,33536
145,33536
146,33472
147,33408
148,33344
149,33152
150,33088
151,33088
152,33280
153,33472
154,33600
155,33728
156,33728
157,33792
158,33856
159,33984
160,34048
161,34048
162,34176
163,34176
164,34048
165,33920
166,33792
167,33600
168,33408
169,33152
170,32896
171,32768
172,32576
173,32384
174,32256
175,32128
176,32128
177,32256
178,32384
179,32512
180,32640
181,32640
182,32704
183,32832
184,32832
185,32832
186,33088
187,33664
188,34688
189,36288
190,38720
191,41664
192,44288
193,45504
194,44416
195,41664
196,38272
197,34752
198,32448
199,30848
200,30080
201,29760
202,29696
203,29952
204,30336
205,30848
206,31296
207,31616
208,31872
209,32064
210,32192
211,32320
212,32576
213,32768
214,32768
215,32768
216,32704
217,32640
218,32512
219,32512
220,32512
221,32576
222,32640
223,32704
224,32704
225,32704
226,32768
227,32704
228,32640
229,32640
230,32640
231,32576
232,32640
233,32640
234,32704
235,32704
236,32704
237,32640
238,32640
239,32576
240,32512
241,32448
242,32384
243,32384
244,32384
245,32384
246,32384
247,32448
248,32512
249,32640
250,32704
251,32960
252,32960
253,33024
254,32960
255,32960
256,32960
257,32896
258,33152
259,33280
260,33408
261,33472
262,33536
263,33472
264,33472
265,33472
266,33536
267,33472
268,33408
269,33344
270,33408
271,33536
272,33536
