,cleanECG
0,33408
1,33600
2,33408
3,33216
4,33344
5,33600
6,33472
7,33280
8,33280
9,33536
10,33472
11,33280
12,33280
13,33536
14,33472
15,33280
16,33216
17,33472
18,33536
19,33344
20,33216
21,33472
22,33600
23,33344
24,33216
25,33408
26,33600
27,33408
28,33216
29,33344
30,33600
31,33472
32,33280
33,33280
34,33536
35,33472
36,33280
37,33280
38,33536
39,33536
40,33344
41,33280
42,33472
43,33536
44,33344
45,33216
46,33408
47,33600
48,33408
49,33216
50,33344
51,33600
52,33408
53,33280
54,33344
55,33600
56,33472
57,33280
58,33280
59,33536
60,33472
61,33280
62,33280
63,33536
64,33536
65,33344
66,33216
67,33472
68,33536
69,33344
70,33280
71,33728
72,34048
73,34176
74,34304
75,34688
76,35072
77,35072
78,35072
79,35200
80,35456
81,35328
82,35072
83,35008
84,35072
85,34880
86,34432
87,34176
88,34112
89,33856
90,33344
91,32960
92,32896
93,32704
94,32192
95,31872
96,31936
97,32064
98,32000
99,31936
100,32192
101,32448
102,32448
103,32320
104,32512
105,32832
106,32768
107,32704
108,32768
109,33088
110,33344
111,33792
112,34688
113,35904
114,36992
115,37888
116,38912
117,39936
118,40960
119,41600
120,42112
121,42368
122,41792
123,40384
124,38720
125,37184
126,35712
127,33984
128,32320
129,30976
130,29952
131,28736
132,27584
133,26944
134,27136
135,27648
136,28032
137,28608
138,29312
139,29760
140,29952
141,30208
142,30720
143,31104
144,31168
145,31232
146,31616
147,31936
148,31936
149,31936
150,32128
151,32448
152,32448
153,32448
154,32704
155,33088
156,33280
157,33280
158,33472
159,33920
160,34048
161,34048
162,34112
163,34432
164,34560
165,34432
166,34368
167,34624
168,34752
169,34560
170,34432
171,34560
172,34752
173,34496
174,34240
175,34304
176,34432
177,34240
178,33984
179,33920
180,34048
181,33856
182,33536
183,33408
184,33536
185,33408
186,33088
187,32896
188,33024
189,32960
190,32576
191,32384
192,32448
193,32512
194,32192
195,32000
196,32000
197,32128
198,31936
199,31808
200,31936
201,32256
202,32256
203,32192
204,32320
205,32640
206,32704
207,32576
208,32576
209,32896
210,32896
211,32768
212,32768
213,33024
214,33088
215,32960
216,32896
217,33088
218,33280
219,33152
220,33024
221,33216
222,33408
223,33280
224,33152
225,33216
226,33472
227,33344
228,33216
229,33216
230,33472
231,33472
232,33216
233,33216
234,33472
235,33472
236,33280
237,33216
238,33408
239,33536
240,33344
241,33216
242,33408
243,33536
244,33344
245,33216
246,33408
247,33600
248,33408
249,33280
250,33344
251,33600
252,33472
253,33280
254,33280
255,33536
256,33536
257,33280
258,33280
259,33536
260,33536
261,33344
262,33280
263,33472
264,33600
265,33344
266,33280
267,33408
268,33600
269,33408
270,33280
271,33408
272,33600
273,33408
274,33216
275,33344
276,33536
277,33472
278,33280
279,33280
280,33600
281,33536
282,33344
283,33280
284,33536
285,33600
286,33344
287,33280
288,33472
289,33536
290,33344
291,33280
292,33408
293,33600
294,33408
295,33280
296,33408
297,33600
298,33472
299,33280
300,33344
301,33600
302,33472
303,33280
304,33344
305,33600
306,33536
307,33344
308,33280
309,33536
310,33600
311,33344
312,33280
313,33472
314,33600
315,33408
316,33280
317,33472
318,33600
319,33472
320,33344
321,33600
322,34048
323,34176
324,34304
325,34560
326,35008
327,35136
328,35072
329,35136
330,35392
331,35328
332,35072
333,34944
334,35008
335,34880
336,34496
337,34176
338,34112
339,33920
340,33472
341,33024
342,32896
343,32768
344,32256
345,31936
346,31872
347,32128
348,32064
349,32000
350,32128
351,32448
352,32448
353,32384
354,32448
355,32768
356,32832
357,32704
358,32704
359,33024
360,33344
361,33728
362,34624
363,35712
364,36928
365,37824
366,38720
367,39808
368,40832
369,41536
370,42048
371,42304
372,41920
373,40640
374,38976
375,37376
376,35904
377,34240
378,32576
379,31168
380,30080
381,28928
382,27776
383,26944
384,27072
385,27584
386,28032
387,28544
388,29248
389,29824
390,30016
391,30208
392,30656
393,31104
394,31168
395,31232
396,31552
397,31872
398,31936
399,31936
400,32064
401,32448
402,32448
403,32448
404,32640
405,33088
406,33280
407,33344
408,33472
409,33856
410,34112
411,34048
412,34112
413,34368
414,34560
415,34496
416,34432
417,34560
418,34816
419,34624
420,34496
421,34560
422,34752
423,34624
424,34368
425,34304
426,34432
427,34304
428,33984
429,33856
430,33984
431,33920
432,33600
433,33408
434,33472
435,33472
436,33216
437,32960
438,33024
439,33024
440,32704
441,32448
442,32448
443,32512
444,32256
445,32000
446,32000
447,32128
448,32000
449,31808
450,31936
451,32256
452,32384
453,32256
454,32320
455,32640
456,32768
457,32640
458,32576
459,32832
460,33024
461,32896
462,32832
463,33024
464,33216
465,33088
466,32960
467,33088
468,33344
469,33216
470,33088
471,33152
472,33408
473,33280
474,33088
475,33152
476,33408
477,33408
478,33216
479,33216
480,33408
481,33472
482,33280
483,33216
484,33408
485,33536
486,33344
487,33216
488,33408
489,33536
490,33344
491,33216
492,33344
493,33536
494,33408
495,33216
496,33280
497,33600
498,33472
499,33280
