,ECG
0,-43
1,15
2,36
3,-8
4,-95
5,-163
6,-172
7,-133
8,-71
9,-6
10,37
11,23
12,-50
13,-174
14,-154
15,-101
16,-34
17,23
18,38
19,-9
20,-97
21,-163
22,-169
23,-127
24,-64
25,2
26,46
27,30
28,-43
29,-127
30,-165
31,-144
32,-91
33,-25
34,33
35,49
36,0
37,-86
38,-152
39,-161
40,-123
41,-65
42,-4
43,33
44,11
45,-65
46,-149
47,-184
48,-163
49,-40
50,16
51,29
52,-22
53,-112
54,-175
55,-178
56,-134
57,-66
58,5
59,49
60,34
61,-38
62,-118
63,-151
64,-127
65,-72
66,-4
67,51
68,61
69,7
70,-81
71,-145
72,-149
73,-108
74,-45
75,19
76,57
77,36
78,-39
79,-120
80,-151
81,-125
82,-70
83,-3
84,51
85,61
86,-79
87,-139
88,-140
89,-97
90,-35
91,28
92,66
93,44
94,-31
95,-103
96,-124
97,-86
98,-16
99,63
100,133
101,155
102,114
103,39
104,-6
105,6
106,63
107,138
108,211
109,254
110,233
111,157
112,82
113,57
114,88
115,147
116,213
117,267
118,271
119,209
120,118
121,58
122,57
123,160
124,218
125,218
126,242
127,204
128,111
129,20
130,-16
131,0
132,46
133,100
134,141
135,131
136,58
137,-45
138,-115
139,-126
140,-96
141,-47
142,0
143,17
144,-24
145,-114
146,-198
147,-225
148,-194
149,-134
150,-64
151,-10
152,-9
153,-71
154,-159
155,-212
156,-205
157,-157
158,-92
159,-27
160,1
161,-115
162,-192
163,-214
164,-181
165,-119
166,-50
167,1
168,2
169,-64
170,-156
171,-214
172,-208
173,-152
174,-68
175,26
176,101
177,125
178,107
179,103
180,155
181,257
182,384
183,517
184,630
185,692
186,689
187,662
188,671
189,741
190,851
191,981
192,1112
193,1207
194,1228
195,1183
196,1125
197,1089
198,1084
199,1070
200,1029
201,933
202,779
203,609
204,482
205,414
206,388
207,379
208,368
209,321
210,209
211,50
212,-96
213,-187
214,-224
215,-235
216,-240
217,-264
218,-338
219,-462
220,-584
221,-642
222,-619
223,-537
224,-431
225,-330
226,-275
227,-297
228,-379
229,-455
230,-474
231,-438
232,-374
233,-300
234,-249
235,-320
236,-405
237,-449
238,-433
239,-379
240,-311
241,-248
242,-222
243,-262
244,-345
245,-413
246,-424
247,-384
